id	text	iset	shellnoun	content	content_phrase	comment
222	Ziel	8638	true	given	187	_
223	Fragen	21954	false	_		_
224	Konvergenzziele	5459	false	_		_
225	Frage	21850	false	_		_
226	Antrag	21678	true	given	3	_
227	Standpunkt	21644	false	_		_
228	Auffassung	21641	false	_		_
229	Frage	21603	true	given	4	_
230	Auffassung	21362	true	given	5	_
231	Verpflichtungen	1989	true	implicit		_
232	Frage	1905	true	given	38	_
233	Antrag	1831	false	_		_
234	Anträge	1814	false	_		_
235	Auffassung	1893	true	given	80	_
236	Frage	1875	true	given	81	_
237	Ziel	9201	true	given	132	_
238	Standpunkt	1701	true	implicit		_
239	Vorschläge	9211	true	external		_
240	Antrag	1698	false	_		_
241	Tatsache	9364	true	given	131	_
242	Annahme	1811	false	_		_
243	Fähigkeit	9371	false	_		_
244	Antrag	1785	false	_		_
245	Vorschlägen	8951	true	implicit		_
246	Frage	22020	true	given	179	_
247	Eindruck	22450	true	given	183	_
248	Vorschläge	8902	true	external		_
249	Standpunktes	22334	false	_		_
250	Gelegenheit	21982	true	given	173	_
251	Fragen	21964	false	_		_
252	Meinung	21986	false	_		_
253	Beschlüsse	2903	true	implicit		_
254	Recht	2210	false	_		_
255	Umständen	2014	false	_		_
256	Auffassung	9490	true	given	111	_
257	Tatsache	2189	true	given	35	_
258	Meinung	9584	false	_		_
259	Umständen	2184	true	implicit		_
260	Frage	2155	true	given	36	_
261	Ziele	9383	false	_		_
262	Frage	2728	false	_		_
263	Forderungen	2715	true	given	59	_
264	Bereitschaft	2796	true	given		_
265	Köhlerglauben	2280	false	_		_
266	Frage	9684	true	external		_
267	Ziel	9704	true	external		_
268	Entscheidungen	2351	false	_		_
269	Forderung	2259	true	given	49	_
270	Forderungen	2465	true	implicit		_
271	Forderung	2618	true	given	200	_
272	dessen	4828	false	_		_
273	Frage	9797	unclear	undefined		_
274	Lage	9642	false	_		_
275	Erfordernissen	5964	false	_		_
276	Möglichkeit	10397	true	given	29	_
277	Möglichkeit	10346	true	given	29	_
278	Ansicht	10288	true	given	28	_
279	Entscheidung	10228	false	_		_
280	Frage	10205	true	given	26	_
281	Versuch	10077	true	given	31	_
282	Forderung	19297	true	given	153	_
283	Bemühungen	10033	false	_		_
284	Rechte	19233	false	_		_
285	Entscheidung	10006	false	_		_
286	Entscheidung	9974	false	_		_
287	Forderung	3052	true	given	40	_
288	Recht	2998	false	_		_
289	Recht	3034	false	_		_
290	Gegenargument	3820	true	given	70	_
291	Ansporn	3817	true	given	70	_
292	Frage	19589	true	given	125	_
293	Eindruck	19442	true	given	167	_
294	Fragen	19558	true	given	121	_
295	Tatsache	19335	true	given	155	_
296	Auffassung	19404	true	given	165	_
297	Ziel	9830	true	given	30	_
298	Lage	9850	false	_		_
299	Frage	10782	false	_		_
300	Lage	10874	true	given	105	_
301	Notwendigkeit	3650	true	given	79	_
302	Entscheidung	19825	true	given	123	_
303	Frage	10679	false	_		_
304	Recht	3099	false	_		_
305	Entscheidung	10610	false	_		_
306	Forderungen	3119	false	_		_
307	Vorschlag	3168	true	given	47	_
308	Antrag	10776	false	_		_
309	Mühe	3246	false	_		_
310	Denkanstöße	3379	true	implicit		_
311	Eindruck	3750	true	given	68	_
312	Zusicherung	3209	true	given	77	_
313	Absolutheitsanspruch	3445	true	given	50	inkorporiert
314	Alleinvertretungsanspruch	3437	true	given	56	inkorporiert
315	Hoffnung	19980	true	given	141	_
316	Umstände	20107	false	_		_
317	Lage	20223	true	external		_
318	Frage	19836	true	external		_
319	Frage	11219	true	given	85	_
320	Recht	11217	false	_		_
321	Möglichkeiten	20442	false	_		_
322	Fragen	11104	false	_		_
323	Frage	20372	true	given	93	_
324	Fragen	11087	false	_		_
325	Lage	11464	false	_		_
326	Fragen	11443	false	_		_
327	Lage	11439	false	_		_
328	Rechte	11014	false	_		_
329	Voraussetzung	10999	false	_		_
330	Frage	10953	false	_		_
331	Möglichkeiten	20453	false	_		_
332	Plan	20609	true	given	17	_
333	Absichten	20465	false	_		_
334	Pflicht	20478	true	given	84	_
335	Vorschläge	20671	false	_		_
336	Recht	20811	false	_		_
337	Frage	11677	true	given	75	_
338	Recht	20815	false	_		_
339	Frage	11646	false	_		_
340	Frage	11718	true	given	61	_
341	Frage	11705	true	given	15	_
342	Aufgabe	12047	true	given	63	_
343	Fragen	11831	true	given	8 7 6	_
344	Hauptziele	4086	true	external		_
345	Entscheidung	11532	false	_		_
346	Recht	11643	false	_		_
347	Vorschlag	20826	false	_		_
348	Frage	20974	false	_		_
349	Meinung	21057	false	_		_
350	Voraussetzungen	21274	true	given	10	_
351	Einladung	4985	false	_		_
352	Göteborg-Ziele	4971	false	_		_
353	Begründung	17828	true	given	161	_
354	Vorstellung	23634	true	given	139	_
355	Vorstellungen	17564	false	_		_
356	Darum	23571	false	_		_
357	Gründen	18020	true	given	21 22 23 24	_
358	Tatsache	18406	true	given	189	_
359	Frage	18271	false	_		_
360	Fördermöglichkeit	4656	true	given	54	_
361	Kommissionsvorlage	4613	false	_		_
362	Beschäftigungsziele	9285	false	_		_
363	Gründen	17339	true	given	136	_
364	Bedürfnissen	970	true	implicit		_
365	Ziele	18256	false	_		_
366	Frage	18112	false	_		_
367	Recht	18813	true	given	170	_
368	Tendenz	18885	true	given	182	_
369	Recht	18846	false	_		_
370	Vorschlag	18952	false	_		_
371	Rechte	18914	false	_		_
372	Fakten	24204	false	_		_
373	Tatsache	18575	true	given	196	_
374	Hinweise	18587	true	given	202	_
375	Recht	18765	true	given	198	_
376	Recht	18781	true	given	174	_
377	Vorschlägen	19149	false	_		_
378	Fragen	19129	false	_		_
379	Hauptziele	9804	true	given	30	_
380	Schlussfolgerung	17805	true	given	158	_
381	Innovationsnotwendigkeit	9667	true	given	156	_
382	Recht	19047	false	_		_
383	Frage	19089	true	given	180	_
384	Rechte	18976	false	_		_
385	Möglichkeit	18987	true	given	184	_
386	Forderung	19115	true	given	146	_
387	Vorschlag	21798	true	external		_
388	Glauben	22141	true	given	172	_
389	Bedürfnisse	7521	false	_		_
390	Bedarf	22770	false	_		_
391	Bedürfnisse	7808	false	_		_
392	Bedürfnisse	8155	false	_		_
393	Gründen	8333	false	_		_
394	Frage	32063	true	external		_
395	Auffassung	32105	undefined	_		_
396	Meinung	32502	true	given	250	_
397	Frage	32540	false	_		_
398	Vorschlägen	32289	false	_		_
399	Anträge	32308	false	_		_
400	Vorschlägen	31196	false	_		_
401	Bemühungen	31251	false	_		_
402	Forderung	31700	true	given	248	_
403	Fragen	31900	false	_		_
404	Meinung	29171	true	given	259	_
405	Frage	29232	true	given	271	_
406	Frage	29113	true	external		_
407	Auffassung	29136	true	given	260	_
408	Notwendigkeit	39108	false	_		_
409	Frage	38751	false	_		_
410	Entscheidung	29405	false	_		_
411	Frage	38936	true	given	333	_
412	Auffassung	29393	true	given	270	_
413	Entscheidung	29384	false	_		_
414	Entscheidung	29336	false	_		_
415	Auffassung	29301	true	given	273	_
416	Meinung	33502	true	given	266	_
417	Verpflichtung	38537	false	_		_
418	Recht	38284	false	_		_
419	Tatsache	33833	true	given	272	_
420	Aufgabe	38355	false	_		_
421	Verpflichtungen	34036	false	_		_
422	Frage	38121	true	given	317	_
423	Entscheidung	29040	false	_		_
424	Recht	38185	false	_		_
425	Vorschlag	33218	true	given	242	_
426	Pläne	29015	true	given	261	_
427	Entscheidung	38206	false	_		_
428	Vorschlags	33243	true	given	242	_
429	Annahme	38219	false	_		_
430	Entscheidung	29054	true	given	263	_
431	Pflicht	32732	false	_		_
432	Ansichten	28983	false	_		_
433	Verpflichtungen	33394	false	_		_
434	Entscheidung	37746	true	given	319	_
435	Möglichkeit	33481	true	given	267	_
436	Schwierigkeiten	29546	false	_		_
437	Frage	25894	false	_		_
438	Willens	26888	false	_		_
439	Aufgabe	26483	true	given	318	_
440	Rechte	26618	false	_		_
441	Entscheidungen	29689	true	given	240 244	_
442	Fragen	26460	true	given	221	_
443	Fragen	26157	unclear	undefined		_
444	Lage	29759	false	_		_
445	Tendenzen	26051	false	_		_
446	Recht	26121	false	_		_
447	Auffassung	29732	true	given	253	_
448	Voraussetzung	29738	false	_		_
449	Tatsache	30263	true	given	251	_
450	Tatsache	29916	true	given	254	_
451	Gelegenheit	30047	true	given	249	_
452	Voraussetzung	25551	false	_		_
453	Fragen	25519	false	_		_
454	Frage	25774	false	_		_
455	Frage	25800	false	_		_
456	Frage	25873	false	_		_
457	Ziel	25593	true	given	216	_
458	Frage	25722	true	given	214	_
459	Umständen	29428	false	_		_
460	Möglichkeit	29500	true	given	237	_
461	Möglichkeit	29516	true	given	237	_
462	Entscheidung	29526	false	_		_
463	Bemühungen	25559	false	_		_
464	Frage	24694	false	_		_
465	Frage	24663	false	_		_
466	Entscheidungen	24572	false	_		_
467	Gelegenheit	30653	false	_		_
468	Verpflichtung	30750	true	given	230	_
469	Hoffnungen	24824	false	_		_
470	Auffassung	24934	false	_		_
471	Rechte	25469	false	_		_
472	Willen	25300	true	given	276	_
473	Voraussetzungen	25353	false	_		_
474	Wunsch	31129	true	given	223	_
475	Pflichten	31019	false	_		_
476	Fragen	30835	false	_		_
477	Pflichten	30956	false	_		_
478	Tatsache	30321	true	given	208	_
479	Fragen	24389	false	_		_
480	Frage	24410	false	_		_
481	Entscheidung	30476	true	given	219	_
482	Ansicht	30441	true	given	204	_
483	Frage	27314	true	external		_
484	Möglichkeit	40909	true	given	265	_
485	Möglichkeit	27217	true	given	301	_
486	Gelegenheit	27206	true	given	300	_
487	Grund	40781	true	given	207	_
488	Auffassung	27137	true	given	327	_
489	Ziele	41057	false	_		_
490	Umständen	34101	false	_		_
491	Entscheidung	34248	false	_		_
492	Vorschlag	34073	false	_		_
493	Antrag	27039	true	given	326	_
494	Gründen	46952	true	given	211 231	_
495	Umständen	34082	false	_		_
496	Grund	36731	true	given	215	_
497	Gründe	25680	true	given	214	_
498	Anlaß	36612	false	_		_
499	Voraussetzung	40894	true	given	269	_
500	Antrag	41282	false	_		_
501	Vorschläge	41295	false	_		_
502	Willen	27537	false	_		_
503	Hinweis	41423	false	_		_
504	Meinung	27529	false	_		_
505	Meinung	41471	true	given	258	_
506	Antrag	27765	false	_		_
507	Antrag	41580	false	_		_
508	Frage	27731	true	external		_
509	Aufgabe	27400	false	_		_
510	Entscheidung	34362	false	_		_
511	Gelegenheit	27367	true	given	299	_
512	Anträge	34409	false	_		_
513	Vorschlag	27492	true	external		_
514	Hoffnung	34452	false	_		_
515	Schwierigkeiten	27469	false	_		_
516	Entscheidung	34259	false	_		_
517	Umständen	34257	false	_		_
518	Vorschlags	34265	false	_		_
519	Lage	41104	false	_		_
520	Zielen	41096	false	_		_
521	Gefahr	40383	true	given	281	_
522	Ziels	27912	false	_		_
523	Deshalb	31306	false	_		_
524	Frage	40399	true	given	310	_
525	Entscheidung	27891	true	given	308	_
526	Möglichkeiten	40353	false	_		_
527	Ziel	27881	true	given	311	_
528	Hinweis	40372	false	_		_
529	Recht	27869	false	_		_
530	Beschluß	31657	false	_		_
531	Frage	40340	true	given	283	_
532	Entscheidungen	28017	false	_		_
533	Versagen	31535	false	_		_
534	Umständen	35065	false	_		_
535	Entscheidung	27797	true	external		_
536	Frage	35352	true	given	286	_
537	Frage	35346	true	given	295	_
538	Konsequenzen	37484	false	_		_
539	Ideen	34961	false	_		_
540	Frage	34624	false	_		_
541	Versuch	34594	true	given	257	_
542	Entscheidungsbefugnis	31805	false	_		_
543	Feststellung	39969	true	given	289	_
544	Zielsetzungen	37290	false	_		_
545	Frage	39922	true	given	291	_
546	Ansicht	39919	false	_		_
547	Entscheidung	40713	false	_		_
548	Frage	28435	false	_		_
549	Frage	40728	false	_		_
550	Fragen	28379	true	external		_
551	Antrag	40830	true	given	203	_
552	Auftrag	28532	false	_		_
553	Ansicht	40694	false	_		_
554	Meinung	35582	false	_		_
555	Meinung	35708	false	_		_
556	Entscheidung	35712	false	_		_
557	Fragen	28034	false	_		_
558	Grund	47052	true	given	231	_
559	Vorschlags	35918	false	_		_
560	Fragen	28160	false	_		_
561	Fragen	28053	false	_		_
562	Frage	28261	false	_		_
563	Recht	36008	false	_		_
564	Hauptgründe	37113	true	given	234	_
565	Gelegenheiten	35568	false	_		_
566	Zweifel	37195	false	_		_
567	Investitionsmöglichkeiten	37105	true	given	232	_
568	Frage	40490	true	given	312	_
569	Meinung	40595	false	_		_
570	Umstand	40579	true	given	305	_
571	Entscheidung	28699	false	_		_
572	Entscheidung	28708	false	_		_
573	Überzeugung	36327	false	_		_
574	Lage	43216	undefined	_		_
575	Frage	36284	false	_		_
576	Lage	47192	undefined	_		_
577	Ansicht	43109	true	given	315	_
578	Möglichkeit	36199	true	given	279	_
579	Gedanken	47078	false	_		_
580	Schwierigkeiten	43081	false	_		_
581	Frage	36173	false	_		_
582	Gelegenheit	47058	true	given	229	_
583	Forderungen	42987	false	_		_
584	Möglichkeit	47025	true	given	233	_
585	Tatsache	43614	true	given	309	_
586	Willen	43543	false	_		_
587	Arbeit	42760	false	_		_
588	Gelegenheit	43489	false	_		_
589	Forderung	43328	true	given	314	_
590	Meinungen	28758	false	_		_
591	Fragen	28782	true	external		_
592	Haushaltsplans	33029	true	external		_
593	davon	29619	false	_		_
594	Lage	47747	undefined	_		_
595	Vorschlägen	47866	undefined	_		_
596	Recht	47693	undefined	_		_
597	Recht	47709	undefined	_		_
598	Gelegenheit	47506	undefined	_		_
599	Recht	47652	undefined	_		_
600	Recht	36030	true	given	277	_
601	Standpunkt	47274	undefined	_		_
602	Absichten	28924	true	given	293	_
603	Pläne	28960	true	given	290	_
604	Rechte	43744	false	_		_
605	Entscheidung	36946	false	_		_
606	Ansicht	43864	false	_		_
607	Hoffnung	43811	false	_		_
608	Ziele	47946	undefined	_		_
609	Frage	36994	false	_		_
610	Frage	36949	unclear	undefined		_
611	Tatsache	28885	true	given	292	_
612	Lage	43911	false	_		_
613	Plan	44175	true	given	287	_
614	Mut	31964	true	given	246	_
615	Meinung	44024	true	given	302	_
616	Rechte	44222	false	_		_
617	Schwierigkeiten	36846	false	_		_
618	Umständen	44210	false	_		_
619	Rechte	44309	false	_		_
620	Erwägungen	32045	false	_		_
621	Bedarf	30288	true	given	252	_
622	Tatsache	48006	undefined	_		_
623	Hinweise	48011	undefined	_		_
624	Tatsache	48181	undefined	_		_
625	Wille	41657	false	_		_
626	Ziel	48485	undefined	_		_
627	Ziele	37269	false	_		_
628	Aufgaben	37267	false	_		_
629	Frage	42349	false	_		_
630	Schwierigkeiten	42303	false	_		_
631	Recht	42298	false	_		_
632	Frage	42262	true	external		_
633	Bemühungen	42162	false	_		_
634	Fragen	41904	false	_		_
635	Bemühungen	37171	false	_		_
636	Hinweis	41814	true	given	247	_
637	Bemühungen	37123	false	_		_
638	Auffassungen	41773	false	_		_
639	Einladung	35299	false	_		_
640	Ansicht	48584	undefined	_		_
641	Ansicht	41588	true	given	256	_
642	Ansichten	48614	undefined	_		_
643	Recht	48893	undefined	_		_
644	Bemühungen	48769	undefined	_		_
645	Aufgabe	48874	undefined	_		_
646	Vorschlags	42435	false	_		_
647	Möglichkeit	37538	true	given	323	_
648	Möglichkeiten	37511	false	_		_
649	Voraussetzung	37598	true	given	225	_
650	Forderungen	37544	false	_		_
651	Forderung	42954	false	_		_
652	Rechte	42792	false	_		_
653	Filmgarantiefonds	33470	false	_		_
654	Ursache	41298	false	_		_
655	Erfordernis	41288	false	_		_
656	Pflicht	42957	false	_		_
657	Garantie	41108	false	_		_
658	Wille	37337	true	given	224	_
659	Schlußfolgerungen	29305	false	_		_
660	Deswegen	41045	false	_		_
661	Rechte	42677	false	_		_
662	Chance	37324	true	given	226	_
663	Möglichkeiten	37502	true	given	322 323	_
664	Lage	37455	false	_		_
665	Erfordernissen	33627	false	_		_
666	Einigung	29481	false	_		_
667	Anschluß	34015	false	_		_
668	Einverständnis	25060	false	_		_
669	Forderung	44411	true	given	296	_
670	Hinweis	44780	true	given	298	_
671	Befürchtung	44434	true	given	297	_
672	Fakten	28559	false	_		_
673	Spekulationen	28551	false	_		_
674	Fakten	28588	false	_		_
675	Vernunft	36257	false	_		_
676	Spekulation	28583	false	_		_
677	Beschluß	36299	true	given	280	_
678	Fakten	28732	false	_		_
679	Wünschen	28523	false	_		_
680	Spekulation	28547	false	_		_
681	Schritt	45393	false	_		_
682	Gelegenheit	45541	false	_		_
683	Entscheidungen	45500	false	_		_
684	Zweifel	35914	false	_		_
685	Argumente	28848	false	_		_
686	Recht	45098	true	given	284	_
687	Voraussetzung	45122	false	_		_
688	Recht	44824	false	_		_
689	Recht	44939	true	given	278	_
690	Ziel	46429	true	given	336	_
691	Frage	45573	true	given	334	_
692	Recht	45583	false	_		_
693	Hinweisen	45641	false	_		_
694	Argument	44053	true	given	302	_
695	Umständen	45855	false	_		_
696	Gefahr	46262	true	given	335	_
697	Vorschlag	46955	true	external		_
698	Verfahrensvorschlag	40609	true	given	307	_
699	Tatsache	46705	true	given	213	_
700	Frage	46898	false	_		_
701	Idee	46567	true	given	212	_
702	Lage	46691	undefined	_		_
703	Hoffnung	39389	true	given	329	_
704	Hoffnung	39425	false	_		_
705	Anstrengungen	37643	true	given	325	_
706	Hoffnung	39434	true	given	328	_
707	Möglichkeiten	39633	false	_		_
708	Grund	27326	false	_		_
709	Rechte	39836	false	_		_
710	Meinung	39729	true	given	294	_
711	Möglichkeit	39684	true	given	330	_
712	Gründen	39713	false	_		_
713	Ansätze	39256	false	_		_
714	Bestrebungen	38394	true	given	331	_
715	Schiedssprüchen	46102	false	_		_
716	Zweifel	69962	false	_		_
717	Vorstellungen	69652	false	_		_
718	Gründen	69580	true	given	347	_
719	deshalb	69588	false	_		_
720	Erfordernissen	69432	false	_		_
721	Abschluss	69439	false	_		_
722	Garantien	69495	false	_		_
723	Zweifel	73172	false	_		_
724	es	73010	false	_		_
725	Ziel	53058	true	given	373	_
726	Chancen	53206	false	_		_
727	Eindruck	53273	true	given	368	_
728	Frage	53325	false	_		_
729	Frage	52626	false	_		_
730	Frage	52705	true	given	346	_
731	Wunsch	52738	false	_		_
732	Frage	52788	true	external		_
733	Vorschläge	52820	false	_		_
734	Auffassung	52920	false	_		_
735	Rechts	60303	false	_		_
736	Forderung	50674	false	_		_
737	Ansicht	60476	false	_		_
738	Fragen	54195	true	given	469 473 472 500	_
739	Recht	50652	true	given	381	_
740	Überzeugung	60086	true	given	443	_
741	Möglichkeit	50576	true	given	392	_
742	Lage	60150	false	_		_
743	Möglichkeit	54174	true	given	485	_
744	Verpflichtung	50449	true	given	391	_
745	Ziele	50444	false	_		_
746	Verpflichtung	50385	true	given	391	_
747	Ziele	50354	false	_		_
748	Rechte	59953	false	_		_
749	Lage	59990	false	_		_
750	Verdacht	54665	false	_		_
751	Vorschlag	60055	false	_		_
752	Fragen	54459	true	given	501 502	_
753	Lage	54512	false	_		_
754	Absicht	53473	true	given	360	_
755	Frage	50254	false	_		_
756	Ziel	50228	false	_		_
757	Bemühungen	59686	false	_		_
758	Vorschlag	53558	false	_		_
759	Recht	59845	false	_		_
760	Forderung	53660	true	given	361	_
761	Schwierigkeiten	59924	false	_		_
762	Gelegenheit	53342	false	_		_
763	Frage	50210	true	external		_
764	Versuch	53452	true	given	370	_
765	Fragen	50084	true	external		_
766	Möglichkeit	59150	true	given	465	_
767	Annahme	59227	false	_		_
768	Recht	53905	false	_		_
769	Antrag	59349	true	given	464	_
770	Recht	53937	true	given	483	_
771	Möglichkeit	59442	true	given	459	_
772	Pflicht	53942	true	given	483	_
773	Tatsache	59591	true	given	462	_
774	Notwendigkeit	53972	true	given	484	_
775	Forderung	51148	true	given	398	_
776	Möglichkeit	51107	true	given	394	_
777	Fragen	51398	true	external		_
778	Hoffnung	51535	false	_		_
779	Pläne	51429	true	given	430	_
780	Lage	51522	false	_		_
