id	text	iset	np_replfirst_noun	annotationcompleted	np_replfirst_deverbal	namely_difficultcase	np_replalternative	np_repl_difficultcase	namely_majordivergingantecedent	candidateanaphor	namelytest_naemlich	np_replfirst_article	namely_antecedent
43	es	1851		yes						error_wrong_marking			
44	das	2268	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass die zahl der christen nicht mehr ab- , sondern wieder zunimmt	eine_solche	9
45	es	2239	na	yes	na	yes	na	yes	yes	discourse_anaphor	naemlich gemeinsam  eine bluete zu erleben	na	8
46	Dies	2700	zustand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es leichter ist , an die subventionen zu gelangen	eine_solche	13
47	Dies	2654	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich diese daten ein fuer alle mal aufzunehmen und dann nur jeweils die aenderungen zu beruecksichtigen	eine_solche	14
48	Dies	2485	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es eine vielzahl von anregungen des rechnungshofes -- auch aus den vergangenen jahren -- beruecksichtigt und ganz entschieden auch programmvereinfachung auf seine fahnen geschrieben hat	diese	15
49	es	2459		yes						error_no_discourse_anaphor			
50	es	2740	na	yes	na	yes	na	yes	na	discourse_anaphor	naemlich zu handeln	na	12
51	es	2544		yes						error_wrong_marking			
52	es	2683		yes						error_wrong_marking			
53	es	2635		yes						error_wrong_marking			
54	Es	2975		yes						error_wrong_marking			
55	Es	3112		yes						error_wrong_marking			
56	es	2991		yes						error_wrong_marking			
57	Das	2803	massnahme	yes	na	yes	na	na	yes	discourse_anaphor	dass er an den anfang seiner rede die definition der wnaemlich zu definieren, was unter faelschung von medikamenten zu verstehen ist .	diese	18
58	dies	3127	forderung	yes	na	na	yes	na	na	discourse_anaphor	naemlich dass wir die betroffenen laender beim aufbau ihrer faehigkeiten unterstuetzen , sichere medikamente im eigenen land herzustellen und sichere medikamente ins eigene land zu importieren .	diese	17
59	es	2764		yes						error_wrong_marking			
60	es	2827		yes						error_wrong_marking			
61	das	2866	sachverhalt	yes	na	na	yes	na	na	discourse_anaphor	naemlich dass in entwickelten laendern vorwiegend so genannte lifestyle-drogen gefaelscht werden.	diese	16
62	es	3206		yes						error_wrong_marking			
63	es	3527		yes						error_wrong_marking			
64	Es	3277		yes						error_no_discourse_anaphor			
65	Es	3593		yes						error_wrong_marking			
66	Das	3195	sachverhalt	yes	na	na	na	yes	na	discourse_anaphor	ob es zu wenig geld dafuer gibt.	diese	20
67	es	3326		yes						error_wrong_marking			
68	das	3342		yes						error_no_discourse_anaphor			
69	das	3255	einschaetzung	yes	na	na	yes	na	na	discourse_anaphor	naemlich dass die kuerzung der urspruenglich veranschlagten zahlen um die haelfte  fuer mich schon ein rueckschlag war.	diese	23
70	das	3348	umstand	yes	na	na	yes	yes	na	discourse_anaphor	naemlich das meeresautobahnen zu nennen	diese	22
71	es	3517		yes						error_wrong_marking			
72	es	3188		yes						error_wrong_marking			
73	es	3629	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich dass man einfach nurmehr den interventionen der staerksten lobbyisten nachgibt und die interessen der menschen entlang den strassen vergisst	eine_solche	19
74	das	3493	entwicklung	yes	na	na	yes	na	na	discourse_anaphor	naemlich dass man bei der halbzeitueberpruefung zum weissbuch ueberlegungen anstellt, die verlagerung des verkehrs auf umweltfreundliche verkehrsmittel nicht mehr als zielsetzung der europaeischen union zu sehen.	diese	21
75	es	4044		yes						error_no_discourse_anaphor			
76	es	3661		yes						error_wrong_marking			
77	Es	3651		yes						error_wrong_marking			
78	es	3846		yes						error_wrong_marking			
79	es	3854		yes						error_wrong_marking			
80	das	4000	sachverhalt	yes	na	yes	na	na	na	discourse_anaphor	naemlich, dass wir seit einem jahr hier im parlament nachfragen , dass der nachweis ueber die notwendigkeit dieser massnahmen im bereich vorratsdatenspeicherung gefuehrt werden soll , und dass wir in diesen tagen zum ersten mal einzelne beispiele fuer diese notwendigkeit geliefert kriegen	diese	24
81	es	4019	aktion	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass diese beispiele geliefert werden	diese	29
82	es	3984		yes						error_no_discourse_anaphor			
83	das	3757		yes						error_wrong_marking			
84	Das	3977	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass wir in diesen tagen zum ersten mal einzelne beispiele fuer diese notwendigkeit geliefert kriegen	diese	26
85	es	3991	forderung	yes	na	yes	na	yes	na	discourse_anaphor	naemlich, dass der nachweis ueber die notwendigkeit dieser massnahmen im bereich vorratsdatenspeicherung gefuehrt werden soll	diese	28
86	es	3865		yes						error_wrong_marking			
87	das	3772		yes						error_wrong_marking			
88	das	3750		yes						error_no_discourse_anaphor			
89	dies	4306	sachverhalt	yes	na	na	na	yes	na	discourse_anaphor	naemlich, dass er an unsere christliche ueberzeugung appelliert hat	diese	30
90	es	4484		yes						error_no_discourse_anaphor			
91	dies	4331	einschaetzung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass religioese ueberzeugungen nicht in die politik einfliessen duerfen	diese	31
92	Es	4677		yes						error_wrong_marking			
93	es	4947		yes						error_wrong_marking			
94	Es	4939		yes						error_wrong_marking			
95	das	4756	meinung	yes	na	na	na	na	na	discourse_anaphor	naemlich, was ich meine	diese	32
96	dies	4783		yes						error_no_discourse_anaphor			
97	es	4835		yes						error_wrong_marking			
98	Das	4956	tatsache	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es hier  um zwei unterschiedliche nationen in einem land geht	diese	33
99	es	5100		yes						error_wrong_marking			
100	es	4971		yes						error_wrong_marking			
101	Es	5239		yes						error_wrong_marking			
102	es	5409		yes						error_wrong_marking			
103	dies	5498	handlung	yes	na	na	na	na	na	discourse_anaphor	naemlich ein allgemeines bekenntnis zur sozialbindung des eigentums abzugeben	eine_solche	34
104	dies	5442	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich  gewerkschaftsmitarbeiter und sozialrechte in dem bericht mitzubehandeln	eine_solche	37
105	es	5451		yes						error_wrong_marking			
106	das	5325	ansicht	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass das insgesammt ein sehr gutes papier und ein guter aktionsplan ist	diese	35
107	es	5222		yes						error_wrong_marking			
108	es	5290		yes						error_wrong_marking			
109	dies	5304	massnahme	yes	na	na	na	na	yes	discourse_anaphor	naemlich einen europaeischen corporate-governance-kodex anzugehen	eine_solche	36
110	das	5322		yes						error_no_discourse_anaphor			
111	dies	5524		yes						error_no_discourse_anaphor			
112	Dies	5377		yes						error_no_discourse_anaphor			
113	Es	5834		yes						error_wrong_marking			
114	es	5797		yes						error_wrong_marking			
115	dies	5706	entwicklung	na	na	na	na	na	yes	discourse_anaphor	naemlich dass es einen echten binnenmarkt ohne diskrimierung gibt.	diese	40
116	es	5771	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich dass ein aeusserst verschwommener begriff eingefuehrt wurde.	diese	39
117	es	5822		yes						error_wrong_marking			
118	Das	5765	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich dass der jetzt zwischen den grossen fraktionen kursierenden kompromiss hat einen aeusserst verschwommenen begriff eingefuehrt hat: die sozialpolitik.	diese	38
119	es	5865		na						error_wrong_marking			
120	Es	5566		yes						error_wrong_marking			
121	es	5650		yes						error_wrong_marking			
122	es	5689		yes						error_no_discourse_anaphor			
123	es	5594		yes						error_wrong_marking			
124	das	5944	meinung	yes	na	na	yes	na	na	discourse_anaphor	naemlich dass sie nicht gegen die dose sind	diese	44
125	es	5992		yes						error_wrong_marking			
126	das	6267	massnahme	yes	na	na	yes	na	yes	discourse_anaphor	naemlich  auf mehrweg zu setzten	diese	43
127	es	6083		yes						error_wrong_marking			
128	Es	6188		yes						error_wrong_marking			
129	es	6198		yes						error_wrong_marking			
130	es	6106		yes						error_no_discourse_anaphor			
131	Das	6511	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich in europa dem verlust an biodiversitaet einhalt zu gebieten	diese	45
132	es	6437		yes						error_no_discourse_anaphor			
133	Es	6557		yes						error_wrong_marking			
134	das	6428		yes						error_no_discourse_anaphor			
135	das	6870	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich dass es sehr exekutivlastig ist	diese	47
136	es	6868		na						error_no_discourse_anaphor			
137	es	6726		yes						error_wrong_marking			
138	es	6774	entwicklung	yes	na	na	na	na	na	discourse_anaphor	wenn wir einen separaten ueberblick bekaemen	eine_solche	46
139	das	7062	handlung	yes	na	na	na	yes	na	discourse_anaphor	naemlich  alle schattenberichterstatter in die diskussion  mit einzubinden und auch in den trilog	diese	52
140	Das	7298	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich wegbereiter zu sein fuer ein europaeisches patent durch die hintertuer der durchsetzungsrichtlinie	diese	48
141	Es	7208		yes						error_wrong_marking			
142	es	7111		yes						error_wrong_marking			
143	es	7136		yes						error_wrong_marking			
144	Das	7290	frage	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass wir auf europaeischer ebene kein patent haben , und wir auch nicht wegbereiter sein moechten fuer ein europaeisches patent durch die hintertuer der durchsetzungsrichtlinie	diese	49
145	Das	7080	behauptung	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass ihre familiaeren verhaeltnisse in der presse auf- und angegriffen wurden	diese	50
146	es	7704		yes						error_wrong_marking			
147	es	7660		yes						error_wrong_marking			
148	das	7509	entwicklung	yes	na	na	na	yes	na	discourse_anaphor	naemlich, dass norwegen mit seinen erdoel- und erdgasvorraeten oder island mit seiner geothermie , mit der erneuerbaren energie uns diesbezueglich ein vorbild sind und uns eine riesenchance bieten , kuenftig auch in der energiepolitik in diesem raum gemeinsame strategien zu entwickeln	diese	53
149	es	7615		yes						error_wrong_marking			
150	es	7827	massnahme	yes	yes	na	na	na	na	discourse_anaphor	naemlich eine verstaerkung der sicherheit	eine_solche	55
151	Es	7940		yes						error_wrong_marking			
152	Es	8085		yes						error_wrong_marking			
153	das	7894	sachverhalt	yes	na	na	na	na	na	discourse_anaphor	naemlich dass die vereinbarung ueber die weitergabe von flugpassagierdaten im kampf gegen den terror keinen sinn macht und nicht kohaerent ist.	diese	54
154	es	8008		yes						error_wrong_marking			
155	Es	8029		yes						error_wrong_marking			
156	es	8158		yes						error_wrong_marking			
157	es	8682		yes						error_wrong_marking			
158	es	8809	na	yes	yes	na	na	na	na	discourse_anaphor	naemlich die demokratisierung der  uno	na	56
159	das	8860	zustand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass die zivilgesellschaft der union in der uno besser aufgehoben ist als die buergerkammern	diese	57
160	Das	9068	tatsache	yes	na	na	yes	yes	na	discourse_anaphor	naemlich, dass der binnenmarkt  die wettbewerbsfaehigkeit staerkt	diese	58
161	Das	9075	tatsache	na	na	na	yes	yes	na	discourse_anaphor	naemlich, dass der binnenmarkt  die wettbewerbsfaehigkeit staerkt	diese	58
162	Das	9086	tatsache	yes	na	na	yes	yes	na	discourse_anaphor	naemlich, dass der binnenmarkt  die wettbewerbsfaehigkeit staerkt	diese	58
163	Das	9107	tatsache	yes	na	na	yes	yes	na	discourse_anaphor	naemlich, dass der binnenmarkt  die wettbewerbsfaehigkeit staerkt	diese	58
164	das	9053	notwendigkeit	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass wir gleichzeitig nein sagen muessen zu den tendenzen zu mehr nationalisierung , nein zu den tendenzen zur leistungsfeindlichkeit , nein zu den tendenzen zu mutlosigkeit , nein zum populismus , nein zur novellierung , nein zur industriefeindlichkeit und ja zu mehr leistung , ja zum binnenmarkt , ja zu den vier freiheiten	diese	59
165	das	9324		yes						error_wrong_marking			
166	es	9370		yes						error_wrong_marking			
167	Das	9351	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich die standards zur bewirtschaftung zu vereinheitlichen	diese	61
168	das	9575	entwicklung	yes	na	na	yes	na	na	discourse_anaphor	naemlich die vorhandene gesetzgebung neu zu erfinden	diese	62
169	Es	9227		yes						error_wrong_marking			
170	es	9460		yes						error_no_discourse_anaphor			
171	es	9612		yes						error_wrong_marking			
172	das	9240	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass ich zu spaet gekommen bin	diese	60
173	es	9390		yes						error_wrong_marking			
174	Es	9549		yes						error_wrong_marking			
175	es	9975		yes						error_wrong_marking			
176	dies	9894	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass geld zur verfuegung gestellt werden muss, europol mit kompetenzen ausgestattet werden muss und eine polizei eingerichtet werden muss und dass das daphne-programm ein wirksames instrument bleibt , getrennt von der drogenpraevention	diese	65
177	Das	9817	forderung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass geld zur verfuegung gestellt werden muss, europol mit kompetenzen ausgestattet werden muss und eine polizei eingerichtet werden muss	diese	64
178	Es	9795		yes						error_wrong_marking			
179	Das	9864	forderung	yes	na	na	yes	na	na	discourse_anaphor	naemlich. dass das daphne-programm ein wirksames instrument bleibt , getrennt von der drogenpraevention	diese	63
180	das	9937		yes						error_no_discourse_anaphor			
181	Das	10228		yes						error_wrong_marking			
182	es	10140		yes						error_wrong_marking			
183	Dies	10720	sachverhalt	yes	na	na	na	yes	na	discourse_anaphor	naemlich, dass fuer alle uebrigen punkte , die vor beginn der letzten verhandlungen anfang dezember noch offen geblieben waren ,zufriedenstellende ergebnisse erzielt wurden	diese	66
184	Dies	11067	moeglichkeit	yes	na	yes	na	na	na	discourse_anaphor	naemlich dass ueber den binnenmarksaspekt hinaus die europaeische normung ein ganzes spektrum politischer massnahmen der gemeinschaft unterstuetzen kann, durch die die wettbewerbsfaehigkeit der europaeischen unternehemen gesteigert werden kann	diese	67
185	es	10929		yes						error_wrong_marking			
186	es	11492		yes						error_wrong_marking			
187	Es	11463		yes						error_wrong_marking			
188	Das	11656		yes						error_no_discourse_anaphor			
189	Dies	11300		na						error_no_discourse_anaphor			
190	das	11622		yes						error_no_discourse_anaphor			
191	es	11408		yes						error_wrong_marking			
192	das	11596		yes						error_no_discourse_anaphor			
193	dies	11625		yes						error_no_discourse_anaphor			
194	dies	11448	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich ,  dass sie ihre eigenen gas-pipelines behalten kann , dass diese nicht in andere haende geraten	eine_solche	71
195	dies	11648		na						error_no_discourse_anaphor			
196	dies	11532	sachverhalt	yes	na	yes	na	na	na	discourse_anaphor	naemlich, dass es aber nicht in jedem fall automatisch eine beitrittsperspektive bedeutet	diese	68
197	Das	11520	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich, die reformanstrengungen im inneren zu legitimieren und die regime zu stuetzen	eine_solche	69
198	dies	11516	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich dieses ziel der nachbarschhaftspolitik erreichen	eine_solche	70
199	Das	11977	notwendigkeit	yes	na	na	na	na	na	discourse_anaphor	naemlich die lektion daraus zu lernen	diese	72
200	es	11881		yes						error_wrong_marking			
201	Das	11894	umstand	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass wir weiterhin negative schlagzeilen ueber die europaeische politik haben  werden, solange es derartige politiken in der europaeischen union gibt	diese	73
202	Es	11776		yes						error_wrong_marking			
203	Das	11948		na						error_no_discourse_anaphor			
204	dies	12257	vorgang	yes	na	yes	na	na	yes	discourse_anaphor	naemlich, wie energiezufuhren  in die europaeische union erfolgen sollen	diese	76
205	Es	12150		yes						error_wrong_marking			
206	dies	12160	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass wir hilfestellung leisten	diese	75
207	Dies	12464	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich russland technisch und durch zusammenarbeit zu helfen , die visafreiheit herzustellen	diese	78
208	Es	12170		yes						error_wrong_marking			
209	dies	12311	forderung	yes	na	na	na	na	yes	discourse_anaphor	naemlich, im bereich der handelsfragen schadensersatzansprueche stellen	eine_solche	74
210	es	12233		yes						error_wrong_marking			
211	es	12110		yes						error_wrong_marking			
212	es	12496		yes						error_wrong_marking			
213	dies	12425	vorgang	yes	na	yes	na	na	na	discourse_anaphor	naemlich, dass die grenzvertraege unterschrieben oder ratifiziert werden	diese	77
214	dies	12443	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich russland technisch und durch zusammenarbeit zu helfen , die visafreiheit herzustellen	diese	78
215	es	12420		yes						error_wrong_marking			
216	es	12091		yes						error_wrong_marking			
217	es	12749		yes						error_wrong_marking			
218	es	12562		yes						error_wrong_marking			
219	Das	12571	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es im vergangenen jahr in china 9 000 prozesse gegen produktpiraten gab	diese	79
220	Das	13108	massnahme	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass die konaemlich,  ein moratorium von drei bis fuenf jahren fuer umwelt und verbraucherpolitische gesetzesvorhaben zu erlassen	eine_solche	80
221	das	12931	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass wir die kommission bei ihrer klage vor dem europaeischen gerichtshof zu unterstuetzen	diese	81
222	es	12964		yes						error_wrong_marking			
223	es	13017		yes						error_wrong_marking			
224	es	13033		yes						error_wrong_marking			
225	das	12854		yes						error_no_discourse_anaphor			
226	das	13350	forderung	yes	na	na	na	na	na	discourse_anaphor	naemlich den verbraucherschutz mit hinzu zu ziehen	diese	83
227	Das	13231	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass die lissabon-agenda auch die loesung der sozialen komponente im rahmen der globalisierung bringen wird	eine_solche	82
228	das	13415	tatsache	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass es etwas vollkommen anderes ist als ihre herangehensweise	diese	84
229	Das	13405	handlung	yes	na	na	na	na	na	discourse_anaphor	naemlich, wenn wir diese mit einbeziehen und mit beruecksichtigen , wir tatsaechlich eine chance haben , handel weltweit fair zu gestalten	eine_solche	85
230	es	13431		yes						error_no_discourse_anaphor			
231	Das	13494	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich, wenn wir die bereits bestehenden weltweiten standards durchsetzen und nur die waren in die europaeische union importieren , die nach diesen standards produziert werden	eine_solche	87
232	Dies	13753	massnahme	yes	na	na	yes	na	na	discourse_anaphor	naemlich schadstoffe wie nox und feinstaub in die bemessungsgrundlage fuer die kfz-steuer mit aufzunehmen .	eine_solche	91
233	Dies	13726	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich dass fahrzeuge mit hoeheren co2-emissionen hoeher besteuert werden als fahrzeuge mit geringeren co2-emissionen	eine_solche	90
234	es	14090		yes						error_wrong_marking			
235	Es	13965		yes						error_wrong_marking			
236	Es	13871		yes						error_wrong_marking			
237	es	13889		yes						error_wrong_marking			
238	das	14243	handlung	yes	na	na	na	na	na	discourse_anaphor	naemlich eine empfehlung fuer eine parteipolitische liste in italien zu geben	eine_solche	92
239	es	14282		yes						error_wrong_marking			
240	es	14575		yes						error_no_discourse_anaphor			
241	Es	14322		yes						error_wrong_marking			
242	was	14522		na						na			
243	es	14180		yes						error_wrong_marking			
244	es	14498		yes						error_wrong_marking			
245	es	14152		yes						error_no_discourse_anaphor			
246	es	14549		yes						error_wrong_marking			
247	Es	14172		yes						error_wrong_marking			
248	dies	14305	umstand	yes	na	na	yes	na	na	discourse_anaphor	naemlich auf einer liste fuer die europawahlen zu kandidieren	diese	93
249	das	14825		yes						error_no_discourse_anaphor			
250	es	14876		na						error_wrong_marking			
251	Das	14700	massnahme	yes	na	na	na	na	yes	discourse_anaphor	naemlich wenn die eu  1 500 soldaten in das drittgroesste afrikanische land schicken wuerde	eine_solche	96
252	Es	14814	tatsache	yes	na	na	na	na	na	discourse_anaphor	naemlich 'einmal kongo, immer knongo'	diese	94
253	es	14633		yes						error_wrong_marking			
254	es	14869	sachverhalt	yes	na	na	na	na	na	discourse_anaphor	naemlich dass es hier tatsaechlich um zugang zu rohstoffen und militaerischer abwehr von fluechtlingen geht	diese	95
255	Es	14774		yes						error_wrong_marking			
256	es	14746		yes						error_wrong_marking			
257	Das	15042	zustand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass sie ihr geld 2004 mit grosser verspaetung erhalten oder dass die programme gar nicht stattfinden koennen	diese	99
258	Das	15166	handlung	yes	na	na	na	na	na	discourse_anaphor	naemlich wenn von mehr als 50 vorgeschlagenen abaenderungsantraegen 35 abgelehnt werden	eine_solche	98
259	es	14942		yes						error_wrong_marking			
260	Das	15385		yes						error_no_discourse_anaphor			
261	es	15494		yes						error_wrong_marking			
262	Das	15824	aktion	na	na	na	na	na	na	discourse_anaphor	naemlich, wenn die grossen multinationalen und globalen unternehmen 0,25 % -- also ein viertel prozent -- ihrer gebuehren fuer waehrungstransaktionen , in einen afrikafonds stiften und wenn wir hier im parlament ein viertel prozent der aufwendungen fuer unsere internationalen waehrungsoperationen im haushalt sperren und in einen fonds fuer die hilfe fuer afrika einzahlen	eine_solche	101
263	Es	15938		yes						error_wrong_marking			
264	Es	16018		yes						error_wrong_marking			
265	Es	15897		yes						error_wrong_marking			
266	es	16214		yes						error_wrong_marking			
267	es	16293		yes						error_wrong_marking			
268	das	16424		yes						error_wrong_marking			
269	Es	16142	entwicklung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es ihnen gelungen ist , wieder bewegung in den verfassungsprozess zu bringen	diese	104
270	es	16281		yes						error_wrong_marking			
271	es	16126		yes						error_wrong_marking			
272	Das	16310	entwicklung	yes	na	na	yes	na	na	discourse_anaphor	naemlich, auch  in dem bereich innen- und justizpolitik zu mehrheitsentscheidungen zu kommen	eine_solche	105
273	es	16437		yes						error_wrong_marking			
274	es	16129		yes						error_wrong_marking			
275	es	16649		yes						error_wrong_marking			
276	es	16810		yes						error_wrong_marking			
277	das	17122	massnahme	yes	yes	na	na	yes	na	discourse_anaphor	die flexibilisierung der arbeitszeiten zum erreichen der vereinbarkeit von familie und beruf	diese	107
278	Das	17036	zustand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es zwischen 15 und 33 % liegt	diese	106
279	es	17028		yes						error_no_discourse_anaphor			
280	das	17001		yes						error_no_discourse_anaphor			
281	es	17165		yes						error_wrong_marking			
282	Das	17459		yes						error_wrong_marking			
283	das	17613	aktion	na	na	na	yes	na	na	discourse_anaphor	naemlich noch bestehende netzwerke , die ihn unterstuetzen , auch wirklich zunichte zu machten	diese	108
284	es	17268		yes						error_wrong_marking			
285	dies	17552	entwicklung	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass der rat die positiven schritte , die kroatien gemacht hat , anerkennt	diese	110
286	Es	17448		yes						error_wrong_marking			
287	es	17293		yes						error_wrong_marking			
288	es	17365		yes						error_no_discourse_anaphor			
289	es	17311		yes						error_wrong_marking			
290	es	17486		yes						error_wrong_marking			
291	es	17337		yes						error_wrong_marking			
292	es	17664		yes						error_wrong_marking			
293	es	17351	massnahme	yes	na	na	na	na	na	discourse_anaphor	naemlich eine positive entscheidung zu treffen	eine_solche	109
294	Das	18048	tatsache	yes	na	na	na	na	na	discourse_anaphor	naemlich dass,  wer auf dauer gegen die menschen zu regieren versucht , scheitern wird	diese	111
295	Das	17866	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass die buerger , die so frustriert sind , dass sie nicht einmal die reformer unterstuetzen , wohl in anderer weise abstimmen werden, indem sie zu hause bleiben	diese	112
296	das	18303	zustand	yes	na	na	na	na	na	discourse_anaphor	naemlich patente auf software zu haben	diese	113
297	es	18273		yes						error_no_discourse_anaphor			
298	es	18340		yes						error_wrong_marking			
299	Das	18128	behauptung	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass wir ueber eines der umstrittensten gesetze reden	diese	114
300	Es	18239		yes						error_wrong_marking			
301	Es	18178		yes						error_wrong_marking			
302	es	18148		yes						error_wrong_marking			
303	es	18361		yes						error_wrong_marking			
304	das	18734	na	yes	na	na	na	yes	na	discourse_anaphor	naemlich was kollegin grossetête gesagt hat	na	117
305	das	18721		yes						error_wrong_marking			
306	es	18541		yes						error_wrong_marking			
307	Das	18709	einschaetzung	yes	na	na	na	na	na	discourse_anaphor	naemlich, was zum dienstleistungsmarkt gesagt wurde	eine_solche	120 115
308	dies	18699	sachverhalt	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es die oeffnung eines gemeinsamen marktes betrifft aber kein soziales dumping	diese	120
309	Es	18511		yes						error_wrong_marking			
310	Das	18521	sachverhalt	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass es  um ein soziales europa im globalen wettbewerb geht	diese	118
311	es	18863		yes						error_wrong_marking			
312	es	18571		yes						error_wrong_marking			
313	Das	18672		yes						error_wrong_marking			
314	das	18475	umstand	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass ein ratsdokument in diesem haus  so positiven anklang gefunden hat	diese	119
315	Es	18780		yes						error_wrong_marking			
316	es	18596	einschaetzung	yes	na	na	yes	na	na	discourse_anaphor	naemlich, dass vie verfassung so negativ oder kritisch gesehen wird	diese	116
