id	text	iset	shellnoun	content	content_phrase	comment
300	Mut	20925	true	given	168	_
301	Auffassung	422	true	implicit		_
302	Fragen	371	true	given	209 208	_
303	Entscheidung	11532	false	_		_
304	Recht	11643	false	_		_
305	Frage	11677	true	given	89	_
306	Eigenbedarf	21410	false	_		_
307	Frage	11646	false	_		_
308	Plan	943	true	given	193	_
309	Frage	11718	true	given	93	_
310	Schwierigkeiten	919	true	implicit		_
311	Frage	11705	true	given	153	_
312	Vorschlägen	1088	true	external		_
313	Aufgabe	12047	true	given	103	_
314	Plan	963	true	implicit		_
315	Fragen	11831	true	given	150 159 158	_
316	Möglichkeit	1130	true	implicit		_
317	Schwierigkeiten	869	false	_		_
318	Ziel	8638	true	given	47	_
319	Auffassung	19404	true	given	68	_
320	Kommissionsvorlage	4613	false	_		_
321	Tatsache	19335	true	given	55	_
322	Vorschläge	8818	false	_		_
323	Fragen	19558	false	_		_
324	Vorschlag	8800	false	_		_
325	Eindruck	19442	true	given	70	_
326	Fördermöglichkeit	4656	true	given	134	_
327	Forderung	8834	true	given	6	_
328	Frage	19589	true	given	85	_
329	Forderung	19297	true	given	57	_
330	Rechte	19233	false	_		_
331	Bedürfnissen	970	true	implicit		_
332	Frage	19836	true	external		_
333	Vorschläge	9211	true	external		_
334	Hoffnung	19980	true	given	100	_
335	Einladung	4985	false	_		_
336	Ziel	9201	true	given	1	_
337	Göteborg-Ziele	4971	false	_		_
338	Fähigkeit	9371	true	given	162	_
339	Lage	20223	true	external		_
340	Tatsache	9364	true	given	5	_
341	Umstände	20107	false	_		_
342	Entscheidung	19825	true	given	90	_
343	Vorschläge	8902	false	_		_
344	Vorschlägen	8951	true	implicit		_
345	Möglichkeiten	20453	false	_		_
346	Pflicht	20478	true	given	17	_
347	Absichten	20465	false	_		_
348	Plan	20609	true	given	109	_
349	Meinung	9584	false	_		_
350	Recht	20811	false	_		_
351	Auffassung	9490	true	given	9	_
352	Vorschläge	20671	false	_		_
353	Möglichkeiten	20442	false	_		_
354	Ziele	9383	false	_		_
355	Frage	20372	true	given	15	_
356	Vorschlag	20826	false	_		_
357	Ziel	9704	false	_		_
358	Frage	9684	true	external		_
359	Frage	20974	true	given	112	_
360	Frage	9797	false	_		_
361	Voraussetzungen	21274	true	given	163	_
362	Meinung	21057	false	_		_
363	Lage	9642	false	_		_
364	Recht	20815	false	_		_
365	Alleinvertretungsanspruch	3437	true	given	136	inkorporiert
366	Absolutheitsanspruch	3445	true	given	128	inkorporiert
367	Zusicherung	3209	true	given	200	_
368	Denkanstöße	3379	true	implicit		_
369	Ansporn	3817	true	given	201	_
370	Gegenargument	3820	true	given	201	_
371	Frage	18271	false	_		_
372	Tatsache	18406	true	given	108	_
373	Frage	18112	false	_		_
374	Ziele	18256	false	_		_
375	Recht	18813	true	given	131	_
376	Tendenz	18885	true	given	137	_
377	Recht	18846	true	given	106	_
378	Vorschlag	18952	false	_		_
379	Rechte	18914	false	_		_
380	Hauptziele	4086	false	_		_
381	Hinweise	18587	true	given	115	_
382	Tatsache	18575	true	given	124	_
383	Recht	18781	true	given	126	_
384	Recht	18765	true	given	123	_
385	Vorschlägen	19149	false	_		_
386	Fragen	19129	false	_		_
387	Möglichkeit	18987	true	given	140	_
388	Rechte	18976	false	_		_
389	Frage	19089	true	given	145	_
390	Recht	19047	false	_		_
391	Forderung	19115	true	given	51	_
392	Köhlerglauben	2280	false	_		_
393	Beschlüsse	2903	true	implicit		_
394	Schiedssprüchen	46102	false	_		_
395	Verfahrensvorschlag	40609	true	given	234	_
396	Anstrengungen	37643	true	given	246	_
397	Argument	44053	true	given	252	_
398	Bestrebungen	38394	true	given	263	_
399	Schritt	45393	true	given	322	_
400	Gründen	39713	false	_		_
401	Ansätze	39256	false	_		_
402	Entscheidung	28708	false	_		_
403	Entscheidung	28699	false	_		_
404	Fragen	28782	true	external		_
405	Meinungen	28758	false	_		_
406	Deswegen	41045	false	_		_
407	Erfordernis	41288	false	_		_
408	Garantie	41108	false	_		_
409	Ursache	41298	false	_		_
410	Tatsache	28885	true	given	339	_
411	Pläne	28960	true	given	334	_
412	Absichten	28924	true	given	338	_
413	Anlaß	36612	true	given	298	_
414	Grund	36731	true	given	314	_
415	Investitionsmöglichkeiten	37105	false	_		_
416	Hauptgründe	37113	true	given	324	_
417	Zweifel	37195	false	_		_
418	Zielsetzungen	37290	false	_		_
419	Konsequenzen	37484	false	_		_
420	Arbeit	42760	false	_		_
421	Vorschlägen	31196	false	_		_
422	Antrag	27039	true	given	367	_
423	Entscheidung	37746	true	given	251	_
424	Bemühungen	31251	false	_		_
425	Recht	38185	unclear	given	302	_
426	Frage	38121	true	given	253	_
427	Annahme	38219	false	_		_
428	Auffassung	27137	true	given	368	_
429	Forderung	31700	true	given	293	_
430	Entscheidung	38206	false	_		_
431	Fragen	31900	false	_		_
432	Möglichkeit	27217	true	given	294	_
433	Gelegenheit	27206	true	given	295	_
434	Frage	27314	true	external		_
435	Frage	32063	true	given	289	_
436	Aufgabe	38355	false	_		_
437	Aufgabe	27400	false	_		_
438	Auffassung	32105	true	given	292	_
439	Recht	38284	false	_		_
440	Gelegenheit	27367	true	given	296	_
441	Verpflichtung	38537	false	_		_
442	Vorschlag	27492	true	given	358	_
443	Schwierigkeiten	27469	false	_		_
444	Anträge	32308	false	_		_
445	Frage	38936	true	given	268	_
446	Willen	27537	false	_		_
447	Vorschlägen	32289	false	_		_
448	Frage	38751	false	_		_
449	Meinung	27529	false	_		_
450	Frage	32540	false	_		_
451	Antrag	27765	true	given	359	_
452	Meinung	32502	true	given	291	_
453	Notwendigkeit	39108	true	given	265	_
454	Frage	27731	true	external		_
455	Gründen	46952	true	given	349 328	_
456	Entscheidung	27797	true	external		_
457	Pflicht	32732	false	_		_
458	Vorschlag	33218	true	given	311	_
459	Vorschlags	33243	true	given	311	_
460	Ziel	27881	true	given	317	_
461	Grund	47052	true	given	349	_
462	Recht	27869	false	_		_
463	Möglichkeit	33481	true	given	327	_
464	Ziels	27912	false	_		_
465	Verpflichtungen	33394	false	_		_
466	Entscheidung	27891	true	given	309	_
467	Entscheidungen	28017	false	_		_
468	Meinung	33502	true	given	326	_
469	Fragen	28034	false	_		_
470	Fragen	28160	false	_		_
471	Fragen	28053	false	_		_
472	Frage	28261	false	_		_
473	Verpflichtungen	34036	false	_		_
474	Frage	28435	false	_		_
475	Tatsache	33833	true	given	325	_
476	Fragen	28379	true	external		_
477	Grund	40781	true	given	361	_
478	Auftrag	28532	false	_		_
479	Wille	41657	false	_		_
480	Möglichkeit	29500	true	given	271	_
481	Frage	36173	false	_		_
482	Hinweis	41814	true	given	321	_
483	Umständen	29428	false	_		_
484	Auffassungen	41773	false	_		_
485	Entscheidung	29526	false	_		_
486	Frage	36284	false	_		_
487	Bemühungen	42162	false	_		_
488	Möglichkeit	29516	true	given	271	_
489	Möglichkeit	36199	true	given	260	_
490	Fragen	41904	false	_		_
491	Gründe	25680	true	given	224	_
492	Recht	42298	false	_		_
493	Überzeugung	36327	false	_		_
494	Frage	42262	true	external		_
495	Frage	24410	false	_		_
496	Frage	42349	false	_		_
497	Fragen	24389	false	_		_
498	Schwierigkeiten	42303	false	_		_
499	Recht	36030	true	given	255	_
500	Ansicht	41588	true	given	312	_
501	Vorschlags	42435	false	_		_
502	Entscheidungen	29689	true	given	269 270 287	_
503	Schwierigkeiten	36846	false	_		_
504	Voraussetzung	29738	false	_		_
505	Auffassung	24934	false	_		_
506	Entscheidung	36946	false	_		_
507	Auffassung	29732	true	given	276	_
508	Hoffnungen	24824	false	_		_
509	Rechte	42677	false	_		_
510	Frage	36994	false	_		_
511	Lage	29759	false	_		_
512	Frage	36949	false	_		_
513	Gelegenheit	30047	true	given	279	_
514	Voraussetzungen	25353	false	_		_
515	Forderung	42954	true	given	313	_
516	Tatsache	29916	true	given	277	_
517	Willen	25300	true	given	284	_
518	Rechte	42792	false	_		_
519	Tatsache	30263	true	given	283	_
520	Rechte	25469	false	_		_
521	Pflicht	42957	true	given	313	_
522	Frage	24663	false	_		_
523	Schwierigkeiten	29546	false	_		_
524	Entscheidungen	24572	false	_		_
525	Frage	24694	false	_		_
526	Schwierigkeiten	43081	false	_		_
527	Bemühungen	37123	false	_		_
528	Forderungen	42987	false	_		_
529	Bemühungen	25559	false	_		_
530	Lage	43216	true	given	319	_
531	Ansicht	43109	true	given	237	_
532	Bemühungen	37171	false	_		_
533	Frage	25722	true	given	224	_
534	Gelegenheit	43489	false	_		_
535	Ziel	25593	true	given	223	_
536	Forderung	43328	true	given	238	_
537	Ansicht	30441	true	given	348	_
538	Tatsache	43614	true	given	245	_
539	Willen	43543	false	_		_
540	Frage	25774	false	_		_
541	Aufgaben	37267	false	_		_
542	Entscheidung	30476	true	given	344	_
543	Frage	25873	false	_		_
544	Frage	25800	false	_		_
545	Ziele	37269	false	_		_
546	Voraussetzung	25551	false	_		_
547	Fragen	25519	false	_		_
548	Tatsache	30321	true	given	346	_
549	Rechte	43744	false	_		_
550	Ansicht	43864	false	_		_
551	Wille	37337	true	given	332	_
552	Hoffnung	43811	false	_		_
553	Chance	37324	true	given	330	_
554	Recht	26121	false	_		_
555	Verpflichtung	30750	true	given	357	_
556	Möglichkeiten	37502	true	given	242 241	_
557	Tendenzen	26051	false	_		_
558	Gelegenheit	30653	false	_		_
559	Lage	43911	false	_		_
560	Lage	37455	false	_		_
561	Pflichten	30956	false	_		_
562	Plan	44175	true	given	272	_
563	Möglichkeit	37538	true	given	241	_
564	Fragen	26157	true	given	352	_
565	Fragen	30835	false	_		_
566	Meinung	44024	true	given	252	_
567	Möglichkeiten	37511	false	_		_
568	Fragen	26460	true	given	229	_
569	Pflichten	31019	false	_		_
570	Rechte	44222	false	_		_
571	Voraussetzung	37598	true	given	335	_
572	Umständen	44210	false	_		_
573	Forderungen	37544	false	_		_
574	Rechte	26618	false	_		_
575	Aufgabe	26483	true	given	351	_
576	Wunsch	31129	true	given	365	_
577	Rechte	44309	false	_		_
578	Willens	26888	false	_		_
579	Frage	25894	false	_		_
580	Standpunkt	47274	undefined	_		_
581	Frage	40340	true	given	230	_
582	Recht	47652	undefined	_		_
583	Gelegenheit	47506	undefined	_		_
584	Umständen	34082	false	_		_
585	Hinweis	40372	false	_		_
586	Recht	47709	undefined	_		_
587	Zweifel	35914	false	_		_
588	Vorschlag	34073	false	_		_
589	Möglichkeiten	40353	true	given	307 305	_
590	Recht	47693	undefined	_		_
591	Entscheidung	34248	false	_		_
592	Frage	40399	true	given	236	_
593	Vorschlägen	47866	undefined	_		_
594	Umständen	34101	false	_		_
595	Gefahr	40383	true	given	228	_
596	Lage	47747	undefined	_		_
597	Frage	39922	true	given	219	_
598	Gelegenheit	47058	true	given	350	_
599	Ansicht	39919	false	_		_
600	Möglichkeit	47025	true	given	355	_
601	Lage	47192	undefined	_		_
602	Feststellung	39969	true	given	218	_
603	Gedanken	47078	false	_		_
604	Hinweise	48011	undefined	_		_
605	Vernunft	36257	false	_		_
606	Tatsache	48006	undefined	_		_
607	Ansicht	40694	false	_		_
608	Beschluß	36299	true	given	261	_
609	Tatsache	48181	undefined	_		_
610	Entscheidung	34362	false	_		_
611	Frage	40728	false	_		_
612	Entscheidung	40713	false	_		_
613	Hoffnung	34452	false	_		_
614	Einigung	29481	false	_		_
615	Anträge	34409	false	_		_
616	Antrag	40830	true	given	360	_
617	Entscheidung	34259	false	_		_
618	Schlußfolgerungen	29305	false	_		_
619	Umständen	34257	false	_		_
620	Frage	40490	true	given	235	_
621	Ziele	47946	undefined	_		_
622	Meinung	40595	false	_		_
623	Vorschlags	34265	false	_		_
624	Umstand	40579	true	given	233	_
625	Ansicht	48584	undefined	_		_
626	davon	29619	false	_		_
627	Möglichkeit	40909	true	given	286	_
628	Ansichten	48614	undefined	_		_
629	Ansichten	28983	false	_		_
630	Umständen	35065	false	_		_
631	Entscheidung	29040	false	_		_
632	Frage	35346	true	given	249	_
633	Aufgabe	48874	undefined	_		_
634	Pläne	29015	true	given	244	_
635	Bemühungen	48769	undefined	_		_
636	Ziele	41057	false	_		_
637	Entscheidung	29054	true	given	243	_
638	Frage	35352	true	given	240	_
639	Recht	48893	undefined	_		_
640	Frage	34624	false	_		_
641	Versuch	34594	true	given	337	_
642	Ziel	48485	undefined	_		_
643	Voraussetzung	40894	true	given	288	_
644	Ideen	34961	false	_		_
645	Auffassung	29301	true	given	257	_
646	Meinung	35708	false	_		_
647	Meinung	35582	false	_		_
648	Entscheidung	29384	false	_		_
649	Antrag	41282	false	_		_
650	Bedarf	30288	true	given	282	_
651	Entscheidung	29336	false	_		_
652	Entscheidung	35712	false	_		_
653	Entscheidung	29405	false	_		_
654	Hinweis	41423	false	_		_
655	Auffassung	29393	true	given	259	_
656	Vorschläge	41295	false	_		_
657	Vorschlags	35918	false	_		_
658	Einverständnis	25060	false	_		_
659	Antrag	41580	false	_		_
660	Recht	36008	false	_		_
661	Meinung	41471	true	given	304	_
662	Auffassung	29136	true	given	247	_
663	Lage	41104	false	_		_
664	Frage	29113	true	external		_
665	Zielen	41096	false	_		_
666	Frage	29232	true	given	256	_
667	Meinung	29171	true	given	248	_
668	Gelegenheiten	35568	false	_		_
669	Forderung	44411	true	given	262	_
670	Erwägungen	32045	false	_		_
671	Hinweis	44780	true	given	266 320	_
672	Befürchtung	44434	true	given	264	_
673	Mut	31964	true	given	297	_
674	Entscheidungen	45500	false	_		_
675	Haushaltsplans	33029	true	external		_
676	Gelegenheit	45541	false	_		_
677	Recht	44939	true	given	285	_
678	Recht	44824	false	_		_
679	Voraussetzung	45122	false	_		_
680	Recht	45098	true	given	274	_
681	Fakten	28559	false	_		_
682	Erfordernissen	33627	false	_		_
683	Spekulationen	28551	false	_		_
684	Anschluß	34015	false	_		_
685	Fakten	28588	false	_		_
686	Spekulation	28583	false	_		_
687	Ziel	46429	true	given	222	_
688	Fakten	28732	false	_		_
689	Recht	45583	false	_		_
690	Filmgarantiefonds	33470	false	_		_
691	Frage	45573	true	given	225	_
692	Wünschen	28523	false	_		_
693	Umständen	45855	false	_		_
694	Hinweisen	45641	false	_		_
695	Spekulation	28547	false	_		_
696	Gefahr	46262	true	given	226	_
697	Möglichkeit	39684	true	given	280	_
698	Vorschlag	46955	true	external		_
699	Rechte	39836	false	_		_
700	Einladung	35299	false	_		_
701	Meinung	39729	true	given	227	_
702	Argumente	28848	false	_		_
703	Lage	46691	false	_		_
704	Idee	46567	true	given	341	_
705	Frage	46898	false	_		_
706	Hoffnung	39425	false	_		_
707	Tatsache	46705	true	given	342	_
708	Hoffnung	39389	true	given	273	_
709	Möglichkeiten	39633	false	_		_
710	Hoffnung	39434	true	given	275	_
711	Grund	27326	false	_		_
712	Entscheidungsbefugnis	31805	false	_		_
713	Deshalb	31306	false	_		_
714	Versagen	31535	false	_		_
715	Beschluß	31657	false	_		_
716	Mitchell-Plan	61234	false	_		_
717	dadurch	55528	false	_		_
718	dagegen	56537	false	_		_
719	Bedürfnisse	56003	false	_		_
720	Sicherheitsanforderungen	65020	false	_		_
721	Anreiz	65087	false	_		_
722	Hauptziel	54294	true	given	430 429	_
723	Grund	65276	true	given	426	_
724	Überzeugungskraft	65237	false	_		_
725	Argumente	65531	false	_		_
726	Bestreben	59919	true	given	440	_
727	Schlussfolgerungen	59907	false	_		_
728	Schlussfolgerungen	60483	true	given	450	_
729	Zivilcourage	60714	false	_		_
730	Gründen	60858	false	_		_
731	Tat	54933	false	_		_
732	Anforderungen	61000	false	_		_
733	Veranlassung	57285	false	_		_
734	Plan	49089	true	given	540	_
735	Notwendigkeit	49073	true	given	542	_
736	Kompromissvorschlag	63128	false	_		_
737	Voraussetzung	49120	true	given	539	_
738	Schlussfolgerungen	68031	false	_		_
739	Ziele	49374	true	given	541 536 538	_
740	Weigerung	72386	true	given	515	_
741	Vorschläge	49200	false	_		_
742	Grundsatz	72484	true	given	467	_
743	Chancen	49751	false	_		_
744	Gleichstellungspolitik	57715	false	_		_
745	Frage	49510	true	given	557	_
746	Chancengleichheit	57687	false	_		_
747	Chancengleichheit	57753	false	_		_
748	Schlussfolgerung	68316	false	_		_
749	Gedanken	49849	false	_		_
750	Wünschen	68295	false	_		_
751	Zielsetzung	63507	false	_		_
752	Frage	50070	unclear	given	449	_
753	Tatsache	49952	true	given	554	_
754	Schlussfolgerung	68325	false	_		_
755	Beweggründe	57856	false	_		_
756	Gleichstellungspolitik	57949	false	_		_
757	Chancengleichheit	57929	false	_		_
758	Konsequenz	72909	true	given	478	_
759	Grund	57975	true	given	486 396 395	_
760	Anreiz	63624	false	_		_
761	Kommissionsvorschlag	58284	false	_		_
762	Argumentation	64048	true	given	493	_
763	Sachargumenten	64118	false	_		_
764	Begründungen	64103	false	_		_
765	Aufwand	64223	false	_		_
766	deswegen	58996	false	_		_
767	Zielsetzungen	64597	false	_		_
768	daran	53833	false	_		_
769	Grund	64905	false	_		_
770	daran	53870	false	_		_
771	Möglichkeit	59150	true	given	412	_
772	Frage	52705	true	given	383	_
773	Antrag	59349	false	_		_
774	Frage	52626	false	_		_
