id	sn	cp
305	722	429
306	723	426
307	726	440
308	728	450
309	734	540
310	735	542
311	737	539
312	739	541
313	739	536
314	739	538
315	740	515
316	742	467
317	745	557
318	752	449
319	753	554
320	758	478
321	759	486
322	759	396
323	759	395
324	762	493
325	771	412
326	772	383
327	776	423
328	777	384
329	778	422
330	781	428
331	785	517
332	791	480
333	793	441
334	794	488
335	798	496
336	800	502
337	801	503
338	805	418
339	807	420
340	808	418
341	809	533
342	810	424
343	811	545
344	812	432
345	812	435
346	812	437
347	812	439
348	814	445
349	814	443
350	817	472
351	817	470
352	821	373
353	822	484
354	823	460
355	828	466
356	828	404
357	830	481
358	831	464
359	835	405
360	835	407
361	838	468
362	840	473
363	845	477
364	847	455
365	849	479
366	851	500
367	853	501
368	854	482
369	858	505
370	864	421
371	865	507
372	866	376
373	870	508
374	871	512
375	871	374
376	872	406
377	875	495
378	876	425
379	891	506
380	895	415
381	897	388
382	897	387
383	899	413
384	900	506
385	906	438
386	908	416
387	909	469
388	916	379
389	920	531
390	922	399
391	924	401
392	925	448
393	926	372
394	931	375
395	933	528
396	933	526
397	933	529
398	938	552
399	940	550
400	943	535
401	943	532
402	943	537
403	948	370
404	948	392
405	951	408
406	952	453
407	954	456
408	955	380
409	956	400
410	958	371
411	959	378
412	960	524
413	963	369
414	964	451
415	965	453
416	967	382
417	972	534
418	982	461
419	985	391
420	987	459
421	996	453
422	997	546
423	997	553
424	1000	381
425	1004	548
426	1005	549
427	1007	548
428	1008	551
429	1013	462
430	1015	465
431	1017	463
432	1020	462
433	1022	377
434	1023	454
435	1024	458
436	1026	476
437	1027	555
438	1032	544
439	1037	393
440	1038	419
441	1040	417
442	1045	385
443	1045	398
444	1045	397
445	1048	474
446	1048	475
447	1048	499
448	1049	433
449	1051	409
450	1063	494
451	1065	516
452	1069	518
453	1072	434
454	1077	442
455	1078	523
456	1079	511
457	1080	514
458	1082	517
459	1087	530
460	1088	521
461	1088	520
462	1090	527
463	1092	519
464	1100	485
465	1104	411
466	1106	414
