id	text	lemma	sent	source	pos	mother	rel
51	.	.	2	t_97-05-28_5	.	27	punct
52	The	the	3	t_97-05-28_5	DT	53	det
53	Norwegians	norwegians	3	t_97-05-28_5	NNPS	56	nsubjpass
54	have	have	3	t_97-05-28_5	VBP	56	aux
55	been	be	3	t_97-05-28_5	VBN	56	auxpass
56	proved	prove	3	t_97-05-28_5	VBN	56	ROOT
57	guilty	guilty	3	t_97-05-28_5	JJ	56	oprd
58	and	and	3	t_97-05-28_5	CC	56	cc
59	the	the	3	t_97-05-28_5	DT	60	det
60	penalty	penalty	3	t_97-05-28_5	NN	63	nsubjpass
61	should	should	3	t_97-05-28_5	MD	63	aux
62	be	be	3	t_97-05-28_5	VB	63	auxpass
63	notified	notify	3	t_97-05-28_5	VBN	56	conj
64	by	by	3	t_97-05-28_5	IN	63	agent
65	the	the	3	t_97-05-28_5	DT	66	det
66	end	end	3	t_97-05-28_5	NN	64	pobj
67	of	of	3	t_97-05-28_5	IN	66	prep
68	this	this	3	t_97-05-28_5	DT	69	det
69	week	week	3	t_97-05-28_5	NN	67	pobj
70	.	.	3	t_97-05-28_5	.	63	punct
71	I	-PRON-	4	t_97-05-28_5	PRP	72	nsubj
72	want	want	4	t_97-05-28_5	VBP	72	ROOT
73	to	to	4	t_97-05-28_5	IN	72	prep
74	the	the	4	t_97-05-28_5	DT	75	det
75	Commissioner	commissioner	4	t_97-05-28_5	NNP	73	pobj
76	to	to	4	t_97-05-28_5	TO	77	aux
77	tell	tell	4	t_97-05-28_5	VB	72	advcl
78	us	-PRON-	4	t_97-05-28_5	PRP	77	dobj
79	what	what	4	t_97-05-28_5	WP	81	nsubj
80	is	be	4	t_97-05-28_5	VBZ	81	aux
81	happening	happen	4	t_97-05-28_5	VBG	77	ccomp
82	.	.	4	t_97-05-28_5	.	72	punct
83	We	-PRON-	5	t_97-05-28_5	PRP	85	nsubj
84	have	have	5	t_97-05-28_5	VBP	85	aux
85	heard	hear	5	t_97-05-28_5	VBN	85	ROOT
86	nothing	nothing	5	t_97-05-28_5	NN	85	dobj
87	.	.	5	t_97-05-28_5	.	85	punct
88	Apparently	apparently	6	t_97-05-28_5	RB	94	advmod
89	certain	certain	6	t_97-05-28_5	JJ	90	amod
90	committees	committee	6	t_97-05-28_5	NNS	94	nsubj
91	of	of	6	t_97-05-28_5	IN	90	prep
92	this	this	6	t_97-05-28_5	DT	93	det
93	House	house	6	t_97-05-28_5	NNP	91	pobj
94	are	be	6	t_97-05-28_5	VBP	94	ROOT
95	able	able	6	t_97-05-28_5	JJ	94	acomp
96	to	to	6	t_97-05-28_5	TO	97	aux
97	place	place	6	t_97-05-28_5	VB	95	xcomp
98	certain	certain	6	t_97-05-28_5	JJ	99	amod
99	topics	topic	6	t_97-05-28_5	NNS	97	dobj
100	on	on	6	t_97-05-28_5	IN	97	prep
101	the	the	6	t_97-05-28_5	DT	102	det
102	agenda	agenda	6	t_97-05-28_5	NN	100	pobj
103	under	under	6	t_97-05-28_5	IN	102	prep
104	this	this	6	t_97-05-28_5	DT	105	det
105	item	item	6	t_97-05-28_5	NN	103	pobj
106	which	which	6	t_97-05-28_5	WDT	107	nsubj
107	means	mean	6	t_97-05-28_5	VBZ	102	relcl
108	that	that	6	t_97-05-28_5	IN	112	mark
109	ordinary	ordinary	6	t_97-05-28_5	JJ	110	amod
110	Members	member	6	t_97-05-28_5	NNS	112	nsubj
111	cannot	cannot	6	t_97-05-28_5	VBP	112	aux
112	raise	raise	6	t_97-05-28_5	VB	107	ccomp
113	others	other	6	t_97-05-28_5	NNS	112	dobj
114	.	.	6	t_97-05-28_5	.	94	punct
115	Mr	mr	7	t_97-05-28_15	NNP	116	compound
116	President	president	7	t_97-05-28_15	NNP	127	nsubj
117	,	,	7	t_97-05-28_15	,	127	punct
118	as	as	7	t_97-05-28_15	IN	123	mark
119	you	-PRON-	7	t_97-05-28_15	PRP	123	nsubj
120	would	would	7	t_97-05-28_15	MD	123	aux
121	quite	quite	7	t_97-05-28_15	RB	122	advmod
122	rightly	rightly	7	t_97-05-28_15	RB	123	advmod
123	assume	assume	7	t_97-05-28_15	VB	127	advcl
124	,	,	7	t_97-05-28_15	,	127	punct
125	I	-PRON-	7	t_97-05-28_15	PRP	127	nsubj
126	am	be	7	t_97-05-28_15	VBP	127	aux
127	going	go	7	t_97-05-28_15	VBG	127	ROOT
128	to	to	7	t_97-05-28_15	TO	129	aux
129	speak	speak	7	t_97-05-28_15	VB	127	xcomp
130	against	against	7	t_97-05-28_15	IN	129	prep
131	the	the	7	t_97-05-28_15	DT	132	det
132	suggestion	suggestion	7	t_97-05-28_15	NN	130	pobj
133	from	from	7	t_97-05-28_15	IN	132	prep
134	Mrs	mrs	7	t_97-05-28_15	NNP	135	compound
135	Oomen-Ruijten	oomen-ruijten	7	t_97-05-28_15	JJ	133	pobj
136	.	.	7	t_97-05-28_15	.	127	punct
137	The	the	8	t_97-05-28_15	DT	138	det
138	reasons	reason	8	t_97-05-28_15	NNS	141	nsubj
139	she	-PRON-	8	t_97-05-28_15	PRP	140	nsubj
140	gave	give	8	t_97-05-28_15	VBD	138	relcl
141	are	be	8	t_97-05-28_15	VBP	141	ROOT
142	quite	quite	8	t_97-05-28_15	RB	143	advmod
143	spurious	spurious	8	t_97-05-28_15	JJ	141	acomp
144	.	.	8	t_97-05-28_15	.	141	punct
145	This	this	9	t_97-05-28_15	DT	147	nsubj
146	has	have	9	t_97-05-28_15	VBZ	147	aux
147	been	be	9	t_97-05-28_15	VBN	147	ROOT
148	on	on	9	t_97-05-28_15	IN	147	prep
149	the	the	9	t_97-05-28_15	DT	150	det
150	agenda	agenda	9	t_97-05-28_15	NN	148	pobj
151	now	now	9	t_97-05-28_15	RB	147	advmod
152	for	for	9	t_97-05-28_15	IN	147	prep
153	some	some	9	t_97-05-28_15	DT	154	det
154	time	time	9	t_97-05-28_15	NN	152	pobj
155	.	.	9	t_97-05-28_15	.	147	punct
156	It	-PRON-	10	t_97-05-28_15	PRP	157	nsubj
157	went	go	10	t_97-05-28_15	VBD	157	ROOT
158	through	through	10	t_97-05-28_15	IN	157	prep
159	the	the	10	t_97-05-28_15	DT	160	det
160	Committee	committee	10	t_97-05-28_15	NNP	158	pobj
161	on	on	10	t_97-05-28_15	IN	157	prep
162	Budgets	budgets	10	t_97-05-28_15	NNPS	161	pobj
163	with	with	10	t_97-05-28_15	IN	157	prep
164	quite	quite	10	t_97-05-28_15	PDT	167	predet
165	a	a	10	t_97-05-28_15	DT	167	det
166	substantial	substantial	10	t_97-05-28_15	JJ	167	amod
167	majority	majority	10	t_97-05-28_15	NN	163	pobj
168	.	.	10	t_97-05-28_15	.	157	punct
169	There	there	11	t_97-05-28_15	EX	170	expl
170	were	be	11	t_97-05-28_15	VBD	170	ROOT
171	no	no	11	t_97-05-28_15	DT	172	det
172	problems	problem	11	t_97-05-28_15	NNS	170	attr
173	then	then	11	t_97-05-28_15	RB	170	advmod
174	.	.	11	t_97-05-28_15	.	170	punct
175	We	-PRON-	12	t_97-05-28_15	PRP	176	nsubj
176	discovered	discover	12	t_97-05-28_15	VBD	176	ROOT
177	there	there	12	t_97-05-28_15	EX	178	expl
178	was	be	12	t_97-05-28_15	VBD	176	ccomp
179	a	a	12	t_97-05-28_15	DT	180	det
180	problem	problem	12	t_97-05-28_15	NN	178	attr
181	at	at	12	t_97-05-28_15	IN	178	prep
182	12.30	12.30	12	t_97-05-28_15	CD	184	nummod
183	p.	p.	12	t_97-05-28_15	NN	184	compound
184	m.	m.	12	t_97-05-28_15	NN	181	pobj
185	today	today	12	t_97-05-28_15	NN	178	npadvmod
186	.	.	12	t_97-05-28_15	.	176	punct
187	This	this	13	t_97-05-28_15	DT	188	nsubj
188	is	be	13	t_97-05-28_15	VBZ	188	ROOT
189	not	not	13	t_97-05-28_15	RB	188	neg
190	the	the	13	t_97-05-28_15	DT	191	det
191	way	way	13	t_97-05-28_15	NN	188	attr
192	for	for	13	t_97-05-28_15	IN	196	mark
193	the	the	13	t_97-05-28_15	DT	194	det
194	House	house	13	t_97-05-28_15	NNP	196	nsubj
195	to	to	13	t_97-05-28_15	TO	196	aux
196	run	run	13	t_97-05-28_15	VB	191	relcl
197	its	-PRON-	13	t_97-05-28_15	PRP$	198	poss
198	business	business	13	t_97-05-28_15	NN	196	dobj
199	.	.	13	t_97-05-28_15	.	188	punct
200	(	(	14	t_97-05-28_15	-LRB-	201	punct
201	Applause	applause	14	t_97-05-28_15	NN	201	ROOT
202	from	from	14	t_97-05-28_15	IN	201	prep
203	the	the	14	t_97-05-28_15	DT	205	det
204	PSE	pse	14	t_97-05-28_15	NNP	205	compound
205	Group	group	14	t_97-05-28_15	NNP	202	pobj
206	)	)	14	t_97-05-28_15	-RRB-	202	punct
207	As	as	15	t_97-05-28_15	IN	207	ROOT
208	for	for	15	t_97-05-28_15	IN	207	prep
209	the	the	15	t_97-05-28_15	DT	210	det
210	problems	problem	15	t_97-05-28_15	NNS	208	pobj
211	,	,	15	t_97-05-28_15	,	207	punct
212	the	the	15	t_97-05-28_15	DT	214	det
213	sensitive	sensitive	15	t_97-05-28_15	JJ	214	amod
214	issues	issue	15	t_97-05-28_15	NNS	207	conj
215	which	which	15	t_97-05-28_15	WDT	224	pobj
216	Mrs	mrs	15	t_97-05-28_15	NNP	218	nmod
217	Oomen-Ruijten	oomen-ruijten	15	t_97-05-28_15	NNP	218	amod
218	talks	talk	15	t_97-05-28_15	NNS	222	nsubj
219	about	about	15	t_97-05-28_15	IN	218	prep
220	will	will	15	t_97-05-28_15	MD	222	aux
221	still	still	15	t_97-05-28_15	RB	222	advmod
222	be	be	15	t_97-05-28_15	VB	214	relcl
223	there	there	15	t_97-05-28_15	RB	222	advmod
224	in	in	15	t_97-05-28_15	IN	222	prep
225	June	june	15	t_97-05-28_15	NNP	224	pobj
226	.	.	15	t_97-05-28_15	.	207	punct
227	I	-PRON-	16	t_97-05-28_15	PRP	229	nsubj
228	would	would	16	t_97-05-28_15	MD	229	aux
229	suggest	suggest	16	t_97-05-28_15	VB	229	ROOT
230	that	that	16	t_97-05-28_15	IN	232	mark
231	we	-PRON-	16	t_97-05-28_15	PRP	232	nsubj
232	leave	leave	16	t_97-05-28_15	VBP	229	ccomp
233	it	-PRON-	16	t_97-05-28_15	PRP	232	dobj
234	on	on	16	t_97-05-28_15	IN	232	prep
235	our	-PRON-	16	t_97-05-28_15	PRP$	236	poss
236	agenda	agenda	16	t_97-05-28_15	NN	234	pobj
237	.	.	16	t_97-05-28_15	.	229	punct
238	If	if	17	t_97-05-28_15	IN	240	mark
239	there	there	17	t_97-05-28_15	EX	240	expl
240	are	be	17	t_97-05-28_15	VBP	254	advcl
241	any	any	17	t_97-05-28_15	DT	242	det
242	points	point	17	t_97-05-28_15	NNS	240	attr
243	in	in	17	t_97-05-28_15	IN	242	prep
244	that	that	17	t_97-05-28_15	DT	245	det
245	report	report	17	t_97-05-28_15	NN	243	pobj
246	which	which	17	t_97-05-28_15	WDT	249	pobj
247	she	-PRON-	17	t_97-05-28_15	PRP	248	nsubj
248	disagrees	disagree	17	t_97-05-28_15	VBZ	242	relcl
249	with	with	17	t_97-05-28_15	IN	248	prep
250	,	,	17	t_97-05-28_15	,	254	punct
251	her	-PRON-	17	t_97-05-28_15	PRP$	252	poss
252	group	group	17	t_97-05-28_15	NN	254	nsubj
253	can	can	17	t_97-05-28_15	MD	254	aux
254	vote	vote	17	t_97-05-28_15	VB	254	ROOT
255	against	against	17	t_97-05-28_15	IN	254	prep
256	them	-PRON-	17	t_97-05-28_15	PRP	255	pobj
257	there	there	17	t_97-05-28_15	RB	254	advmod
258	and	and	17	t_97-05-28_15	CC	254	cc
259	then	then	17	t_97-05-28_15	RB	254	advmod
260	and	and	17	t_97-05-28_15	CC	254	cc
261	that	that	17	t_97-05-28_15	DT	263	nsubj
262	will	will	17	t_97-05-28_15	MD	263	aux
263	resolve	resolve	17	t_97-05-28_15	VB	254	conj
264	the	the	17	t_97-05-28_15	DT	265	det
265	issue	issue	17	t_97-05-28_15	NN	263	dobj
266	.	.	17	t_97-05-28_15	.	263	punct
267	(	(	18	t_97-05-28_15	-LRB-	268	punct
268	Applause	applause	18	t_97-05-28_15	NN	268	ROOT
269	from	from	18	t_97-05-28_15	IN	268	prep
270	the	the	18	t_97-05-28_15	DT	272	det
271	PSE	pse	18	t_97-05-28_15	NNP	272	compound
272	Group	group	18	t_97-05-28_15	NNP	269	pobj
273	)	)	18	t_97-05-28_15	-RRB-	269	punct
274	What	what	19	t_97-05-28_22	WP	275	det
275	steps	step	19	t_97-05-28_22	NNS	279	dobj
276	has	have	19	t_97-05-28_22	VBZ	279	aux
277	the	the	19	t_97-05-28_22	DT	278	det
278	Commissioner	commissioner	19	t_97-05-28_22	NNP	279	nsubj
279	taken	take	19	t_97-05-28_22	VBN	279	ROOT
280	to	to	19	t_97-05-28_22	TO	281	aux
281	freeze	freeze	19	t_97-05-28_22	VB	279	xcomp
282	the	the	19	t_97-05-28_22	DT	283	det
283	assets	asset	19	t_97-05-28_22	NNS	281	dobj
284	of	of	19	t_97-05-28_22	IN	283	prep
285	Mr	mr	19	t_97-05-28_22	NNP	286	compound
286	Mobutu	mobutu	19	t_97-05-28_22	NNP	284	pobj
287	which	which	19	t_97-05-28_22	WDT	289	nsubjpass
288	are	be	19	t_97-05-28_22	VBP	289	auxpass
289	held	hold	19	t_97-05-28_22	VBN	286	relcl
290	in	in	19	t_97-05-28_22	IN	289	prep
291	Member	member	19	t_97-05-28_22	NNP	292	compound
292	States	states	19	t_97-05-28_22	NNP	290	pobj
293	?	?	19	t_97-05-28_22	.	279	punct
294	Will	will	20	t_97-05-28_22	MD	297	aux
295	the	the	20	t_97-05-28_22	DT	296	det
296	Commission	commission	20	t_97-05-28_22	NNP	297	nsubj
297	take	take	20	t_97-05-28_22	VB	297	ROOT
298	legal	legal	20	t_97-05-28_22	JJ	299	amod
299	action	action	20	t_97-05-28_22	NN	297	dobj
300	in	in	20	t_97-05-28_22	IN	299	prep
301	these	these	20	t_97-05-28_22	DT	303	det
302	Member	member	20	t_97-05-28_22	NNP	303	compound
303	States	states	20	t_97-05-28_22	NNP	300	pobj
304	to	to	20	t_97-05-28_22	TO	305	aux
305	try	try	20	t_97-05-28_22	VB	297	advcl
306	to	to	20	t_97-05-28_22	TO	307	aux
307	recover	recover	20	t_97-05-28_22	VB	305	xcomp
308	the	the	20	t_97-05-28_22	DT	309	det
309	assets	asset	20	t_97-05-28_22	NNS	307	dobj
310	looted	loot	20	t_97-05-28_22	VBD	309	acl
311	from	from	20	t_97-05-28_22	IN	310	prep
312	that	that	20	t_97-05-28_22	DT	313	det
313	country	country	20	t_97-05-28_22	NN	311	pobj
314	so	so	20	t_97-05-28_22	IN	319	mark
315	that	that	20	t_97-05-28_22	IN	319	mark
316	they	-PRON-	20	t_97-05-28_22	PRP	319	nsubjpass
317	can	can	20	t_97-05-28_22	MD	319	aux
318	be	be	20	t_97-05-28_22	VB	319	auxpass
319	used	use	20	t_97-05-28_22	VBN	307	advcl
320	for	for	20	t_97-05-28_22	IN	319	prep
321	the	the	20	t_97-05-28_22	DT	322	det
322	reconstruction	reconstruction	20	t_97-05-28_22	NN	320	pobj
323	of	of	20	t_97-05-28_22	IN	322	prep
324	the	the	20	t_97-05-28_22	DT	327	det
325	new	new	20	t_97-05-28_22	JJ	327	amod
326	Democratic	democratic	20	t_97-05-28_22	NNP	327	compound
327	Republic	republic	20	t_97-05-28_22	NNP	323	pobj
328	of	of	20	t_97-05-28_22	IN	327	prep
329	Congo	congo	20	t_97-05-28_22	NNP	328	pobj
330	?	?	20	t_97-05-28_22	.	297	punct
331	I	-PRON-	21	t_97-05-28_22	PRP	334	nsubj
332	would	would	21	t_97-05-28_22	MD	334	aux
333	also	also	21	t_97-05-28_22	RB	334	advmod
334	ask	ask	21	t_97-05-28_22	VB	334	ROOT
335	that	that	21	t_97-05-28_22	IN	338	mark
336	the	the	21	t_97-05-28_22	DT	337	det
337	Commission	commission	21	t_97-05-28_22	NNP	338	nsubj
338	take	take	21	t_97-05-28_22	VB	334	ccomp
339	note	note	21	t_97-05-28_22	NN	338	dobj
340	of	of	21	t_97-05-28_22	IN	338	prep
341	the	the	21	t_97-05-28_22	DT	342	det
342	fact	fact	21	t_97-05-28_22	NN	340	pobj
343	that	that	21	t_97-05-28_22	IN	348	mark
344	the	the	21	t_97-05-28_22	DT	346	det
345	European	european	21	t_97-05-28_22	JJ	346	amod
346	people	people	21	t_97-05-28_22	NNS	348	nsubj
347	would	would	21	t_97-05-28_22	MD	348	aux
348	welcome	welcome	21	t_97-05-28_22	VB	342	acl
349	Mr	mr	21	t_97-05-28_22	NNP	350	compound
350	Mobutu	mobutu	21	t_97-05-28_22	NNP	348	dobj
351	as	as	21	t_97-05-28_22	RB	352	advmod
352	much	much	21	t_97-05-28_22	RB	348	advmod
353	as	as	21	t_97-05-28_22	IN	355	mark
354	they	-PRON-	21	t_97-05-28_22	PRP	355	nsubj
355	would	would	21	t_97-05-28_22	MD	352	advcl
356	the	the	21	t_97-05-28_22	DT	358	det
357	greatest	great	21	t_97-05-28_22	JJS	358	amod
358	criminal	criminal	21	t_97-05-28_22	JJ	355	dobj
359	.	.	21	t_97-05-28_22	.	334	punct
360	He	-PRON-	22	t_97-05-28_22	PRP	364	nsubjpass
361	should	should	22	t_97-05-28_22	MD	364	aux
362	not	not	22	t_97-05-28_22	RB	364	neg
363	be	be	22	t_97-05-28_22	VB	364	auxpass
364	given	give	22	t_97-05-28_22	VBN	364	ROOT
365	refuge	refuge	22	t_97-05-28_22	NN	364	dobj
366	in	in	22	t_97-05-28_22	IN	364	prep
367	the	the	22	t_97-05-28_22	DT	369	det
368	European	european	22	t_97-05-28_22	NNP	369	compound
369	Union	union	22	t_97-05-28_22	NNP	366	pobj
370	under	under	22	t_97-05-28_22	IN	364	prep
371	any	any	22	t_97-05-28_22	DT	372	det
372	circumstances	circumstance	22	t_97-05-28_22	NNS	370	pobj
373	.	.	22	t_97-05-28_22	.	364	punct
374	I	-PRON-	23	t_97-05-28_24	PRP	376	nsubj
375	would	would	23	t_97-05-28_24	MD	376	aux
376	like	like	23	t_97-05-28_24	VB	376	ROOT
377	to	to	23	t_97-05-28_24	TO	378	aux
378	ask	ask	23	t_97-05-28_24	VB	376	xcomp
379	the	the	23	t_97-05-28_24	DT	380	det
380	Commissioner	commissioner	23	t_97-05-28_24	NNP	378	dative
381	two	two	23	t_97-05-28_24	CD	382	nummod
382	questions	question	23	t_97-05-28_24	NNS	378	dobj
383	.	.	23	t_97-05-28_24	.	376	punct
384	Is	be	24	t_97-05-28_24	VBZ	387	auxpass
385	he	-PRON-	24	t_97-05-28_24	PRP	387	nsubj
386	not	not	24	t_97-05-28_24	RB	387	neg
387	encouraged	encourage	24	t_97-05-28_24	VBN	387	ROOT
388	by	by	24	t_97-05-28_24	IN	387	agent
389	the	the	24	t_97-05-28_24	DT	390	det
390	axis	axis	24	t_97-05-28_24	NN	388	pobj
391	of	of	24	t_97-05-28_24	IN	390	prep
392	African	african	24	t_97-05-28_24	JJ	393	amod
393	Governments	government	24	t_97-05-28_24	NNS	391	pobj
394	which	which	24	t_97-05-28_24	WDT	397	nsubjpass
395	has	have	24	t_97-05-28_24	VBZ	397	aux
396	been	be	24	t_97-05-28_24	VBN	397	auxpass
397	formed	form	24	t_97-05-28_24	VBN	393	relcl
398	and	and	24	t_97-05-28_24	CC	397	cc
399	is	be	24	t_97-05-28_24	VBZ	400	auxpass
400	led	lead	24	t_97-05-28_24	VBN	397	conj
401	by	by	24	t_97-05-28_24	IN	400	agent
402	Uganda	uganda	24	t_97-05-28_24	NNP	401	pobj
403	at	at	24	t_97-05-28_24	IN	400	prep
404	this	this	24	t_97-05-28_24	DT	405	det
405	time	time	24	t_97-05-28_24	NN	403	pobj
406	,	,	24	t_97-05-28_24	,	387	punct
407	sharing	share	24	t_97-05-28_24	VBG	387	advcl
408	similar	similar	24	t_97-05-28_24	JJ	414	amod
409	political	political	24	t_97-05-28_24	JJ	414	amod
410	,	,	24	t_97-05-28_24	,	414	punct
411	economic	economic	24	t_97-05-28_24	JJ	414	amod
412	and	and	24	t_97-05-28_24	CC	411	cc
413	military	military	24	t_97-05-28_24	JJ	411	conj
414	approaches	approach	24	t_97-05-28_24	NNS	407	dobj
415	to	to	24	t_97-05-28_24	IN	414	prep
416	the	the	24	t_97-05-28_24	DT	419	det
417	Great	great	24	t_97-05-28_24	NNP	418	compound
418	Lakes	lakes	24	t_97-05-28_24	NNP	419	compound
419	area	area	24	t_97-05-28_24	NN	415	pobj
420	and	and	24	t_97-05-28_24	CC	414	cc
421	the	the	24	t_97-05-28_24	DT	422	det
422	problems	problem	24	t_97-05-28_24	NNS	414	conj
423	he	-PRON-	24	t_97-05-28_24	PRP	425	nsubj
424	has	have	24	t_97-05-28_24	VBZ	425	aux
425	described	describe	24	t_97-05-28_24	VBN	422	relcl
426	?	?	24	t_97-05-28_24	.	387	punct
427	Which	which	25	t_97-05-28_24	WDT	428	det
428	way	way	25	t_97-05-28_24	NN	432	npadvmod
429	does	do	25	t_97-05-28_24	VBZ	432	aux
430	the	the	25	t_97-05-28_24	DT	431	det
431	Commission	commission	25	t_97-05-28_24	NNP	432	nsubj
432	think	think	25	t_97-05-28_24	VB	432	ROOT
433	it	-PRON-	25	t_97-05-28_24	PRP	436	nsubj
434	should	should	25	t_97-05-28_24	MD	436	aux
435	best	best	25	t_97-05-28_24	RB	436	advmod
436	work	work	25	t_97-05-28_24	VB	432	ccomp
437	with	with	25	t_97-05-28_24	IN	436	prep
438	this	this	25	t_97-05-28_24	DT	439	det
439	axis	axis	25	t_97-05-28_24	NN	437	pobj
440	?	?	25	t_97-05-28_24	.	432	punct
441	Secondly	secondly	26	t_97-05-28_24	RB	443	advmod
442	,	,	26	t_97-05-28_24	,	443	punct
443	is	be	26	t_97-05-28_24	VBZ	443	ROOT
444	the	the	26	t_97-05-28_24	DT	445	det
445	Commissioner	commissioner	26	t_97-05-28_24	NNP	443	nsubj
446	aware	aware	26	t_97-05-28_24	JJ	443	acomp
447	that	that	26	t_97-05-28_24	IN	451	mark
448	President	president	26	t_97-05-28_24	NNP	449	compound
449	Mandela	mandela	26	t_97-05-28_24	NNP	451	nsubj
450	has	have	26	t_97-05-28_24	VBZ	451	aux
451	urged	urge	26	t_97-05-28_24	VBN	446	ccomp
452	the	the	26	t_97-05-28_24	DT	453	det
453	West	west	26	t_97-05-28_24	NNP	451	dobj
454	not	not	26	t_97-05-28_24	RB	456	neg
455	to	to	26	t_97-05-28_24	TO	456	aux
456	demonize	demonize	26	t_97-05-28_24	VB	451	xcomp
457	Mr	mr	26	t_97-05-28_24	NNP	458	compound
458	Kabila	kabila	26	t_97-05-28_24	NNP	456	dobj
459	in	in	26	t_97-05-28_24	IN	458	prep
460	Kinshasa	kinshasa	26	t_97-05-28_24	NNP	459	pobj
461	and	and	26	t_97-05-28_24	CC	456	cc
462	impressed	impress	26	t_97-05-28_24	VBD	456	conj
463	on	on	26	t_97-05-28_24	IN	462	prep
464	us	-PRON-	26	t_97-05-28_24	PRP	463	pobj
465	that	that	26	t_97-05-28_24	IN	468	mark
466	it	-PRON-	26	t_97-05-28_24	PRP	468	nsubj
467	would	would	26	t_97-05-28_24	MD	468	aux
468	be	be	26	t_97-05-28_24	VB	462	ccomp
469	suicidal	suicidal	26	t_97-05-28_24	JJ	468	acomp
470	for	for	26	t_97-05-28_24	IN	473	mark
471	us	-PRON-	26	t_97-05-28_24	PRP	473	nsubj
472	to	to	26	t_97-05-28_24	TO	473	aux
473	suggest	suggest	26	t_97-05-28_24	VB	468	advcl
474	that	that	26	t_97-05-28_24	IN	483	mark
475	political	political	26	t_97-05-28_24	JJ	476	amod
476	parties	party	26	t_97-05-28_24	NNS	483	nsubjpass
477	,	,	26	t_97-05-28_24	,	483	punct
478	for	for	26	t_97-05-28_24	IN	483	prep
479	instance	instance	26	t_97-05-28_24	NN	478	pobj
480	,	,	26	t_97-05-28_24	,	483	punct
481	should	should	26	t_97-05-28_24	MD	483	aux
482	be	be	26	t_97-05-28_24	VB	483	auxpass
483	formed	form	26	t_97-05-28_24	VBN	473	ccomp
484	in	in	26	t_97-05-28_24	IN	483	prep
485	Zaire	zaire	26	t_97-05-28_24	NNP	484	pobj
486	at	at	26	t_97-05-28_24	IN	483	prep
487	this	this	26	t_97-05-28_24	DT	488	det
488	time	time	26	t_97-05-28_24	NN	486	pobj
489	?	?	26	t_97-05-28_24	.	443	punct
490	Does	do	27	t_97-05-28_24	VBZ	493	aux
491	the	the	27	t_97-05-28_24	DT	492	det
492	Commissioner	commissioner	27	t_97-05-28_24	NNP	493	nsubj
493	intend	intend	27	t_97-05-28_24	VBP	493	ROOT
494	to	to	27	t_97-05-28_24	TO	495	aux
495	take	take	27	t_97-05-28_24	VB	493	xcomp
