id	text	source
67	Herrn	t_97-05-28_5
68	Kommissar	t_97-05-28_5
69	auf	t_97-05-28_5
70	,	t_97-05-28_5
71	uns	t_97-05-28_5
72	zu	t_97-05-28_5
73	erklären	t_97-05-28_5
74	,	t_97-05-28_5
75	was	t_97-05-28_5
76	hier	t_97-05-28_5
77	eigentlich	t_97-05-28_5
78	geschieht	t_97-05-28_5
79	.	t_97-05-28_5
80	Wir	t_97-05-28_5
81	haben	t_97-05-28_5
82	nichts	t_97-05-28_5
83	gehört	t_97-05-28_5
84	.	t_97-05-28_5
85	Offensichtlich	t_97-05-28_5
86	gelingt	t_97-05-28_5
87	es	t_97-05-28_5
88	einigen	t_97-05-28_5
89	Ausschüssen	t_97-05-28_5
90	dieses	t_97-05-28_5
91	Hauses	t_97-05-28_5
92	,	t_97-05-28_5
93	Themen	t_97-05-28_5
94	unter	t_97-05-28_5
95	diesem	t_97-05-28_5
96	Punkt	t_97-05-28_5
97	auf	t_97-05-28_5
98	die	t_97-05-28_5
99	Tagesordnung	t_97-05-28_5
100	zu	t_97-05-28_5
101	setzen	t_97-05-28_5
102	,	t_97-05-28_5
103	was	t_97-05-28_5
104	dazu	t_97-05-28_5
105	führt	t_97-05-28_5
106	,	t_97-05-28_5
107	daß	t_97-05-28_5
108	einfache	t_97-05-28_5
109	Abgeordnete	t_97-05-28_5
110	keine	t_97-05-28_5
111	anderen	t_97-05-28_5
112	Themen	t_97-05-28_5
113	anschneiden	t_97-05-28_5
114	können	t_97-05-28_5
115	.	t_97-05-28_5
116	Herr	t_97-05-28_15
117	Präsident	t_97-05-28_15
118	,	t_97-05-28_15
119	Sie	t_97-05-28_15
120	gehen	t_97-05-28_15
121	zu	t_97-05-28_15
122	Recht	t_97-05-28_15
123	davon	t_97-05-28_15
124	aus	t_97-05-28_15
125	,	t_97-05-28_15
126	daß	t_97-05-28_15
127	ich	t_97-05-28_15
128	mich	t_97-05-28_15
129	gegen	t_97-05-28_15
130	den	t_97-05-28_15
131	Vorschlag	t_97-05-28_15
132	von	t_97-05-28_15
133	Frau	t_97-05-28_15
134	Oomen-Ruijten	t_97-05-28_15
135	äußern	t_97-05-28_15
136	werde	t_97-05-28_15
137	.	t_97-05-28_15
138	Ihre	t_97-05-28_15
139	Gründe	t_97-05-28_15
140	sind	t_97-05-28_15
141	ziemlich	t_97-05-28_15
142	fadenscheinig	t_97-05-28_15
143	.	t_97-05-28_15
144	Dieser	t_97-05-28_15
145	Gegenstand	t_97-05-28_15
146	steht	t_97-05-28_15
147	bereits	t_97-05-28_15
148	seit	t_97-05-28_15
149	einiger	t_97-05-28_15
150	Zeit	t_97-05-28_15
151	auf	t_97-05-28_15
152	der	t_97-05-28_15
153	Tagesordnung	t_97-05-28_15
154	.	t_97-05-28_15
155	Ich	t_97-05-28_15
156	habe	t_97-05-28_15
157	im	t_97-05-28_15
158	Ausschuß	t_97-05-28_15
159	eine	t_97-05-28_15
160	recht	t_97-05-28_15
161	beachtliche	t_97-05-28_15
162	Mehrheit	t_97-05-28_15
163	erhalten	t_97-05-28_15
164	.	t_97-05-28_15
165	Es	t_97-05-28_15
166	gab	t_97-05-28_15
167	damals	t_97-05-28_15
168	keine	t_97-05-28_15
169	Probleme	t_97-05-28_15
170	.	t_97-05-28_15
171	Wir	t_97-05-28_15
172	haben	t_97-05-28_15
173	festgestellt	t_97-05-28_15
174	,	t_97-05-28_15
175	daß	t_97-05-28_15
176	es	t_97-05-28_15
177	heute	t_97-05-28_15
178	um	t_97-05-28_15
179	12.30	t_97-05-28_15
180	Uhr	t_97-05-28_15
181	ein	t_97-05-28_15
182	Problem	t_97-05-28_15
183	gab	t_97-05-28_15
184	.	t_97-05-28_15
185	Das	t_97-05-28_15
186	ist	t_97-05-28_15
187	nicht	t_97-05-28_15
188	die	t_97-05-28_15
189	Art	t_97-05-28_15
190	,	t_97-05-28_15
191	wie	t_97-05-28_15
192	dieses	t_97-05-28_15
193	Haus	t_97-05-28_15
194	seine	t_97-05-28_15
195	Geschäfte	t_97-05-28_15
196	führen	t_97-05-28_15
197	sollte	t_97-05-28_15
198	.	t_97-05-28_15
199	(	t_97-05-28_15
200	Beifall	t_97-05-28_15
201	von	t_97-05-28_15
202	der	t_97-05-28_15
203	PSE-Fraktion	t_97-05-28_15
204	.	t_97-05-28_15
205	)	t_97-05-28_15
206	Die	t_97-05-28_15
207	Probleme	t_97-05-28_15
208	und	t_97-05-28_15
209	sensiblen	t_97-05-28_15
210	Bereiche	t_97-05-28_15
211	,	t_97-05-28_15
212	von	t_97-05-28_15
213	denen	t_97-05-28_15
214	Frau	t_97-05-28_15
215	Oomen-Ruijten	t_97-05-28_15
216	spricht	t_97-05-28_15
217	,	t_97-05-28_15
218	werden	t_97-05-28_15
219	auch	t_97-05-28_15
220	noch	t_97-05-28_15
221	im	t_97-05-28_15
222	Juni	t_97-05-28_15
223	bestehen	t_97-05-28_15
224	.	t_97-05-28_15
225	Ich	t_97-05-28_15
226	würde	t_97-05-28_15
227	vorschlagen	t_97-05-28_15
228	,	t_97-05-28_15
229	daß	t_97-05-28_15
230	wir	t_97-05-28_15
231	unsere	t_97-05-28_15
232	Tagesordnung	t_97-05-28_15
233	so	t_97-05-28_15
234	belassen	t_97-05-28_15
235	.	t_97-05-28_15
236	Wenn	t_97-05-28_15
237	es	t_97-05-28_15
238	in	t_97-05-28_15
239	diesem	t_97-05-28_15
240	Bericht	t_97-05-28_15
241	irgendwelche	t_97-05-28_15
242	Punkte	t_97-05-28_15
243	geben	t_97-05-28_15
244	sollte	t_97-05-28_15
245	,	t_97-05-28_15
246	mit	t_97-05-28_15
247	denen	t_97-05-28_15
248	sie	t_97-05-28_15
249	nicht	t_97-05-28_15
250	übereinstimmt	t_97-05-28_15
251	,	t_97-05-28_15
252	dann	t_97-05-28_15
253	kann	t_97-05-28_15
254	ihre	t_97-05-28_15
255	Fraktion	t_97-05-28_15
256	dagegen	t_97-05-28_15
257	stimmen	t_97-05-28_15
258	,	t_97-05-28_15
259	und	t_97-05-28_15
260	damit	t_97-05-28_15
261	wird	t_97-05-28_15
262	dieses	t_97-05-28_15
263	Problem	t_97-05-28_15
264	gelöst	t_97-05-28_15
265	sein	t_97-05-28_15
266	.	t_97-05-28_15
267	(	t_97-05-28_15
268	Beifall	t_97-05-28_15
269	von	t_97-05-28_15
270	der	t_97-05-28_15
271	PSE-Fraktion	t_97-05-28_15
272	.	t_97-05-28_15
273	)	t_97-05-28_15
274	Welche	t_97-05-28_22
275	Schritte	t_97-05-28_22
276	hat	t_97-05-28_22
277	der	t_97-05-28_22
278	Herr	t_97-05-28_22
279	Kommissar	t_97-05-28_22
280	unternommen	t_97-05-28_22
281	,	t_97-05-28_22
282	um	t_97-05-28_22
283	die	t_97-05-28_22
284	Guthaben	t_97-05-28_22
285	von	t_97-05-28_22
286	Herrn	t_97-05-28_22
287	Mobutu	t_97-05-28_22
288	in	t_97-05-28_22
289	den	t_97-05-28_22
290	Mitgliedstaaten	t_97-05-28_22
291	einzufrieren	t_97-05-28_22
292	?	t_97-05-28_22
293	Wird	t_97-05-28_22
294	die	t_97-05-28_22
295	Kommission	t_97-05-28_22
296	rechtliche	t_97-05-28_22
297	Schritte	t_97-05-28_22
298	in	t_97-05-28_22
299	diesen	t_97-05-28_22
300	Mitgliedstaaten	t_97-05-28_22
301	ergreifen	t_97-05-28_22
302	,	t_97-05-28_22
303	um	t_97-05-28_22
304	die	t_97-05-28_22
305	aus	t_97-05-28_22
306	diesem	t_97-05-28_22
307	Land	t_97-05-28_22
308	veruntreuten	t_97-05-28_22
309	Guthaben	t_97-05-28_22
310	wiederzuerlangen	t_97-05-28_22
311	,	t_97-05-28_22
312	so	t_97-05-28_22
313	daß	t_97-05-28_22
314	sie	t_97-05-28_22
315	für	t_97-05-28_22
316	den	t_97-05-28_22
317	Wiederaufbau	t_97-05-28_22
318	der	t_97-05-28_22
319	neuen	t_97-05-28_22
320	Demokratischen	t_97-05-28_22
321	Republik	t_97-05-28_22
322	Kongo	t_97-05-28_22
323	eingesetzt	t_97-05-28_22
324	werden	t_97-05-28_22
325	können	t_97-05-28_22
326	?	t_97-05-28_22
327	Ich	t_97-05-28_22
328	fordere	t_97-05-28_22
329	die	t_97-05-28_22
330	Kommission	t_97-05-28_22
331	auch	t_97-05-28_22
332	auf	t_97-05-28_22
333	,	t_97-05-28_22
334	zur	t_97-05-28_22
335	Kenntnis	t_97-05-28_22
336	zunehmen	t_97-05-28_22
337	,	t_97-05-28_22
338	daß	t_97-05-28_22
339	die	t_97-05-28_22
340	Bürger	t_97-05-28_22
341	Europas	t_97-05-28_22
342	Herrn	t_97-05-28_22
343	Mobutu	t_97-05-28_22
344	ebenso	t_97-05-28_22
345	freundlich	t_97-05-28_22
346	wie	t_97-05-28_22
347	den	t_97-05-28_22
348	größten	t_97-05-28_22
349	Kriminellen	t_97-05-28_22
350	begrüßen	t_97-05-28_22
351	würden	t_97-05-28_22
352	.	t_97-05-28_22
353	Ihm	t_97-05-28_22
354	sollte	t_97-05-28_22
355	in	t_97-05-28_22
356	der	t_97-05-28_22
357	EU	t_97-05-28_22
358	unter	t_97-05-28_22
359	keinen	t_97-05-28_22
360	Umständen	t_97-05-28_22
361	Zuflucht	t_97-05-28_22
362	gewährt	t_97-05-28_22
363	werden	t_97-05-28_22
364	.	t_97-05-28_22
365	Ich	t_97-05-28_24
366	möchte	t_97-05-28_24
367	dem	t_97-05-28_24
368	Herrn	t_97-05-28_24
369	Kommissar	t_97-05-28_24
370	zwei	t_97-05-28_24
371	Fragen	t_97-05-28_24
372	stellen	t_97-05-28_24
373	.	t_97-05-28_24
374	Wird	t_97-05-28_24
375	er	t_97-05-28_24
376	nicht	t_97-05-28_24
377	durch	t_97-05-28_24
378	die	t_97-05-28_24
379	Achse	t_97-05-28_24
380	der	t_97-05-28_24
381	afrikanischen	t_97-05-28_24
382	Regierungen	t_97-05-28_24
383	,	t_97-05-28_24
384	die	t_97-05-28_24
385	von	t_97-05-28_24
386	Uganda	t_97-05-28_24
387	gebildet	t_97-05-28_24
388	wurde	t_97-05-28_24
389	und	t_97-05-28_24
390	derzeit	t_97-05-28_24
391	angeführt	t_97-05-28_24
392	wird	t_97-05-28_24
393	,	t_97-05-28_24
394	ermutigt	t_97-05-28_24
395	,	t_97-05-28_24
396	ähnliche	t_97-05-28_24
397	politische	t_97-05-28_24
398	,	t_97-05-28_24
399	wirtschaftliche	t_97-05-28_24
400	und	t_97-05-28_24
401	militärische	t_97-05-28_24
402	Ansätze	t_97-05-28_24
403	gegenüber	t_97-05-28_24
404	der	t_97-05-28_24
405	Region	t_97-05-28_24
406	der	t_97-05-28_24
407	großen	t_97-05-28_24
408	Seen	t_97-05-28_24
409	und	t_97-05-28_24
410	den	t_97-05-28_24
411	von	t_97-05-28_24
412	ihm	t_97-05-28_24
413	beschriebenen	t_97-05-28_24
414	Problemen	t_97-05-28_24
415	zu	t_97-05-28_24
416	verfolgen	t_97-05-28_24
417	?	t_97-05-28_24
418	Wie	t_97-05-28_24
419	könnte	t_97-05-28_24
420	man	t_97-05-28_24
421	nach	t_97-05-28_24
422	Auffassung	t_97-05-28_24
423	der	t_97-05-28_24
424	Kommission	t_97-05-28_24
425	am	t_97-05-28_24
426	besten	t_97-05-28_24
427	mit	t_97-05-28_24
428	dieser	t_97-05-28_24
429	Achse	t_97-05-28_24
430	arbeiten	t_97-05-28_24
431	?	t_97-05-28_24
432	Ist	t_97-05-28_24
433	dem	t_97-05-28_24
434	Herrn	t_97-05-28_24
435	Kommissar	t_97-05-28_24
436	zweitens	t_97-05-28_24
437	bekannt	t_97-05-28_24
438	,	t_97-05-28_24
439	daß	t_97-05-28_24
440	Präsident	t_97-05-28_24
441	Mandela	t_97-05-28_24
442	den	t_97-05-28_24
443	Westen	t_97-05-28_24
444	davor	t_97-05-28_24
445	gewarnt	t_97-05-28_24
446	hat	t_97-05-28_24
447	,	t_97-05-28_24
448	Laurent	t_97-05-28_24
449	Kabila	t_97-05-28_24
450	in	t_97-05-28_24
451	Kinshasa	t_97-05-28_24
452	zu	t_97-05-28_24
453	verteufeln	t_97-05-28_24
454	?	t_97-05-28_24
455	Er	t_97-05-28_24
456	hat	t_97-05-28_24
457	uns	t_97-05-28_24
458	nachdrücklich	t_97-05-28_24
459	darauf	t_97-05-28_24
460	hingewiesen	t_97-05-28_24
461	,	t_97-05-28_24
462	daß	t_97-05-28_24
463	es	t_97-05-28_24
464	überaus	t_97-05-28_24
465	nachteilig	t_97-05-28_24
466	für	t_97-05-28_24
467	uns	t_97-05-28_24
468	wäre	t_97-05-28_24
469	vorzuschlagen	t_97-05-28_24
470	,	t_97-05-28_24
471	daß	t_97-05-28_24
472	die	t_97-05-28_24
473	politischen	t_97-05-28_24
474	Parteien	t_97-05-28_24
475	zum	t_97-05-28_24
476	Beispiel	t_97-05-28_24
477	in	t_97-05-28_24
478	Zaire	t_97-05-28_24
479	sich	t_97-05-28_24
480	jetzt	t_97-05-28_24
481	bilden	t_97-05-28_24
482	sollten	t_97-05-28_24
483	.	t_97-05-28_24
484	Beabsichtigt	t_97-05-28_24
485	der	t_97-05-28_24
486	Herr	t_97-05-28_24
487	Kommissar	t_97-05-28_24
488	,	t_97-05-28_24
489	dem	t_97-05-28_24
490	Ratschlag	t_97-05-28_24
491	von	t_97-05-28_24
492	Präsident	t_97-05-28_24
493	Mandela	t_97-05-28_24
494	zu	t_97-05-28_24
495	folgen	t_97-05-28_24
496	und	t_97-05-28_24
497	ihm	t_97-05-28_24
498	darin	t_97-05-28_24
499	zuzustimmen	t_97-05-28_24
500	,	t_97-05-28_24
501	daß	t_97-05-28_24
502	es	t_97-05-28_24
503	nicht	t_97-05-28_24
504	sehr	t_97-05-28_24
505	klug	t_97-05-28_24
506	wäre	t_97-05-28_24
507	,	t_97-05-28_24
508	wenn	t_97-05-28_24
509	der	t_97-05-28_24
510	Westen	t_97-05-28_24
511	jetzt	t_97-05-28_24
512	Herrn	t_97-05-28_24
513	Kabila	t_97-05-28_24
514	zu	t_97-05-28_24
515	viele	t_97-05-28_24
516	Ratschläge	t_97-05-28_24
517	erteilte	t_97-05-28_24
518	,	t_97-05-28_24
519	während	t_97-05-28_24
520	dieser	t_97-05-28_24
521	dabei	t_97-05-28_24
522	ist	t_97-05-28_24
523	,	t_97-05-28_24
524	Recht	t_97-05-28_24
525	und	t_97-05-28_24
526	Ordnung	t_97-05-28_24
527	in	t_97-05-28_24
528	seinem	t_97-05-28_24
529	Land	t_97-05-28_24
530	wiederherzustellen	t_97-05-28_24
531	?	t_97-05-28_24
532	Die	t_97-05-28_27
533	Rolle	t_97-05-28_27
534	,	t_97-05-28_27
535	die	t_97-05-28_27
536	die	t_97-05-28_27
537	Vereinigten	t_97-05-28_27
538	Staaten	t_97-05-28_27
539	während	t_97-05-28_27
540	der	t_97-05-28_27
541	ganzen	t_97-05-28_27
542	Zeit	t_97-05-28_27
543	bis	t_97-05-28_27
544	zur	t_97-05-28_27
545	Machtübernahme	t_97-05-28_27
546	Kabilas	t_97-05-28_27
547	spielten	t_97-05-28_27
548	,	t_97-05-28_27
549	wurde	t_97-05-28_27
550	nicht	t_97-05-28_27
551	ausreichend	t_97-05-28_27
552	berücksichtigt	t_97-05-28_27
553	.	t_97-05-28_27
554	Ich	t_97-05-28_27
555	persönlich	t_97-05-28_27
556	vertrete	t_97-05-28_27
557	die	t_97-05-28_27
558	Ansicht	t_97-05-28_27
559	,	t_97-05-28_27
560	daß	t_97-05-28_27
561	unsere	t_97-05-28_27
562	Partner	t_97-05-28_27
563	auf	t_97-05-28_27
564	der	t_97-05-28_27
565	anderen	t_97-05-28_27
566	Seite	t_97-05-28_27
567	des	t_97-05-28_27
568	Atlantiks	t_97-05-28_27
569	mit	t_97-05-28_27
570	daran	t_97-05-28_27
571	beteiligt	t_97-05-28_27
572	waren	t_97-05-28_27
573	,	t_97-05-28_27
574	den	t_97-05-28_27
575	Geist	t_97-05-28_27
576	aus	t_97-05-28_27
577	der	t_97-05-28_27
578	Flasche	t_97-05-28_27
579	zu	t_97-05-28_27
580	lassen	t_97-05-28_27
581	,	t_97-05-28_27
582	und	t_97-05-28_27
583	nachher	t_97-05-28_27
584	haben	t_97-05-28_27
585	sie	t_97-05-28_27
586	versucht	t_97-05-28_27
587	,	t_97-05-28_27
588	ihn	t_97-05-28_27
589	irgendwie	t_97-05-28_27
590	wieder	t_97-05-28_27
591	in	t_97-05-28_27
592	die	t_97-05-28_27
593	Flasche	t_97-05-28_27
594	zurückzustecken	t_97-05-28_27
595	.	t_97-05-28_27
596	Es	t_97-05-28_27
597	ist	t_97-05-28_27
598	ihnen	t_97-05-28_27
599	aber	t_97-05-28_27
600	nicht	t_97-05-28_27
601	gelungen	t_97-05-28_27
602	.	t_97-05-28_27
603	Es	t_97-05-28_27
604	war	t_97-05-28_27
605	keine	t_97-05-28_27
606	Eroberungskampagne	t_97-05-28_27
607	.	t_97-05-28_27
608	Ich	t_97-05-28_27
609	sagte	t_97-05-28_27
610	bereits	t_97-05-28_27
611	in	t_97-05-28_27
612	meiner	t_97-05-28_27
613	Erklärung	t_97-05-28_27
614	,	t_97-05-28_27
615	daß	t_97-05-28_27
616	Laurent	t_97-05-28_27
617	Kabila	t_97-05-28_27
618	in	t_97-05-28_27
619	das	t_97-05-28_27
620	Machtvakuum	t_97-05-28_27
621	hineingezogen	t_97-05-28_27
622	wurde	t_97-05-28_27
623	,	t_97-05-28_27
624	das	t_97-05-28_27
625	im	t_97-05-28_27
626	ehemaligen	t_97-05-28_27
627	Zaire	t_97-05-28_27
628	bestand	t_97-05-28_27
629	.	t_97-05-28_27
630	Ich	t_97-05-28_27
631	habe	t_97-05-28_27
632	Gespräche	t_97-05-28_27
633	mit	t_97-05-28_27
634	den	t_97-05-28_27
635	Vereinigten	t_97-05-28_27
636	Staaten	t_97-05-28_27
637	darüber	t_97-05-28_27
638	geführt	t_97-05-28_27
639	,	t_97-05-28_27
640	wie	t_97-05-28_27
641	sie	t_97-05-28_27
642	die	t_97-05-28_27
643	Situation	t_97-05-28_27
644	sehen	t_97-05-28_27
645	und	t_97-05-28_27
646	wie	t_97-05-28_27
647	wir	t_97-05-28_27
648	am	t_97-05-28_27
649	besten	t_97-05-28_27
650	dazu	t_97-05-28_27
651	beitragen	t_97-05-28_27
652	können	t_97-05-28_27
653	,	t_97-05-28_27
654	damit	t_97-05-28_27
655	in	t_97-05-28_27
656	diesem	t_97-05-28_27
657	Land	t_97-05-28_27
658	Recht	t_97-05-28_27
659	,	t_97-05-28_27
660	Ordnung	t_97-05-28_27
661	und	t_97-05-28_27
662	Demokratie	t_97-05-28_27
663	geschaffen	t_97-05-28_27
664	werden	t_97-05-28_27
665	.	t_97-05-28_27
666	Die	t_97-05-28_27
667	EU	t_97-05-28_27
668	hat	t_97-05-28_27
669	bereits	t_97-05-28_27
670	ihren	t_97-05-28_27
671	Standpunkt	t_97-05-28_27
672	und	t_97-05-28_27
673	ihre	t_97-05-28_27
674	Bereitschaft	t_97-05-28_27
675	erklärt	t_97-05-28_27
676	,	t_97-05-28_27
677	bei	t_97-05-28_27
678	der	t_97-05-28_27
679	Wiederherstellung	t_97-05-28_27
680	und	t_97-05-28_27
681	dem	t_97-05-28_27
682	Wiederaufbau	t_97-05-28_27
683	der	t_97-05-28_27
684	neuen	t_97-05-28_27
685	Demokratischen	t_97-05-28_27
686	Republik	t_97-05-28_27
687	Kongo	t_97-05-28_27
688	zu	t_97-05-28_27
689	helfen	t_97-05-28_27
690	,	t_97-05-28_27
691	aber	t_97-05-28_27
692	es	t_97-05-28_27
693	dürfen	t_97-05-28_27
694	hier	t_97-05-28_27
695	keine	t_97-05-28_27
696	Mißverständnisse	t_97-05-28_27
697	entstehen	t_97-05-28_27
698	.	t_97-05-28_27
699	Es	t_97-05-28_27
700	gibt	t_97-05-28_27
701	einige	t_97-05-28_27
702	Vorbedingungen	t_97-05-28_27
703	,	t_97-05-28_27
704	die	t_97-05-28_27
705	erfüllt	t_97-05-28_27
706	werden	t_97-05-28_27
707	müssen	t_97-05-28_27
708	.	t_97-05-28_27
709	Ich	t_97-05-28_27
710	bin	t_97-05-28_27
711	nicht	t_97-05-28_27
712	bereit	t_97-05-28_27
713	,	t_97-05-28_27
714	einen	t_97-05-28_27
715	Blankoscheck	t_97-05-28_27
716	zu	t_97-05-28_27
717	unterzeichnen	t_97-05-28_27
718	.	t_97-05-28_27
719	Der	t_97-05-28_29
720	einzige	t_97-05-28_29
721	Grund	t_97-05-28_29
722	,	t_97-05-28_29
723	warum	t_97-05-28_29
724	ich	t_97-05-28_29
725	mich	t_97-05-28_29
726	mit	t_97-05-28_29
727	der	t_97-05-28_29
728	humanitären	t_97-05-28_29
729	Situation	t_97-05-28_29
730	nicht	t_97-05-28_29
731	detailliert	t_97-05-28_29
732	auseinandergesetzt	t_97-05-28_29
733	habe	t_97-05-28_29
734	,	t_97-05-28_29
735	besteht	t_97-05-28_29
736	darin	t_97-05-28_29
737	,	t_97-05-28_29
738	daß	t_97-05-28_29
739	ich	t_97-05-28_29
740	meine	t_97-05-28_29
741	Redezeit	t_97-05-28_29
742	bereits	t_97-05-28_29
743	um	t_97-05-28_29
744	3	t_97-05-28_29
745	Minuten	t_97-05-28_29
746	überschritten	t_97-05-28_29
747	habe	t_97-05-28_29
748	.	t_97-05-28_29
749	Frau	t_97-05-28_29
750	Kommissarin	t_97-05-28_29
751	Bonino	t_97-05-28_29
752	hat	t_97-05-28_29
753	die	t_97-05-28_29
754	humanitäre	t_97-05-28_29
755	Situation	t_97-05-28_29
756	jedoch	t_97-05-28_29
757	zu	t_97-05-28_29
758	Recht	t_97-05-28_29
759	dramatisch	t_97-05-28_29
760	dargestellt	t_97-05-28_29
761	.	t_97-05-28_29
762	Wir	t_97-05-28_29
763	übertreiben	t_97-05-28_29
764	nicht	t_97-05-28_29
765	.	t_97-05-28_29
766	Die	t_97-05-28_29
767	Zahl	t_97-05-28_29
768	der	t_97-05-28_29
769	Flüchtlinge	t_97-05-28_29
770	und	t_97-05-28_29
771	Vertriebenen	t_97-05-28_29
772	,	t_97-05-28_29
773	ob	t_97-05-28_29
774	diese	t_97-05-28_29
775	sich	t_97-05-28_29
776	nun	t_97-05-28_29
777	in	t_97-05-28_29
778	Tansania	t_97-05-28_29
779	,	t_97-05-28_29
780	in	t_97-05-28_29
781	Südzaire	t_97-05-28_29
782	oder	t_97-05-28_29
783	in	t_97-05-28_29
784	den	t_97-05-28_29
785	Nachbarstaaten	t_97-05-28_29
786	befinden	t_97-05-28_29
787	,	t_97-05-28_29
788	beläuft	t_97-05-28_29
789	sich	t_97-05-28_29
790	auf	t_97-05-28_29
791	mindestens	t_97-05-28_29
792	600	t_97-05-28_29
793	000	t_97-05-28_29
794	.	t_97-05-28_29
795	Wir	t_97-05-28_29
796	sprechen	t_97-05-28_29
797	von	t_97-05-28_29
798	einer	t_97-05-28_29
799	ebenso	t_97-05-28_29
800	großen	t_97-05-28_29
801	Zahl	t_97-05-28_29
802	wie	t_97-05-28_29
803	die	t_97-05-28_29
804	Bevölkerung	t_97-05-28_29
805	von	t_97-05-28_29
806	Brüssel	t_97-05-28_29
807	,	t_97-05-28_29
808	es	t_97-05-28_29
809	ist	t_97-05-28_29
810	also	t_97-05-28_29
811	eine	t_97-05-28_29
812	dramatische	t_97-05-28_29
813	Situation	t_97-05-28_29
814	.	t_97-05-28_29
815	Wir	t_97-05-28_29
816	waren	t_97-05-28_29
817	sehr	t_97-05-28_29
818	enttäuscht	t_97-05-28_29
819	,	t_97-05-28_29
820	als	t_97-05-28_29
821	die	t_97-05-28_29
822	lokalen	t_97-05-28_29
823	Militärbefehlshaber	t_97-05-28_29
824	es	t_97-05-28_29
825	dem	t_97-05-28_29
826	VN-Menschrechtszentrum	t_97-05-28_29
827	und	t_97-05-28_29
828	anderen	t_97-05-28_29
829	Agenturen	t_97-05-28_29
830	nicht	t_97-05-28_29
831	ermöglichten	t_97-05-28_29
832	,	t_97-05-28_29
833	Informationsmissionen	t_97-05-28_29
834	über	t_97-05-28_29
835	die	t_97-05-28_29
836	humanitären	t_97-05-28_29
837	Bedürfnisse	t_97-05-28_29
838	zu	t_97-05-28_29
839	entsenden	t_97-05-28_29
840	,	t_97-05-28_29
841	weil	t_97-05-28_29
842	die	t_97-05-28_29
843	geforderten	t_97-05-28_29
844	Bedingungen	t_97-05-28_29
845	nicht	t_97-05-28_29
846	akzeptiert	t_97-05-28_29
847	werden	t_97-05-28_29
848	konnten	t_97-05-28_29
849	.	t_97-05-28_29
850	Von	t_97-05-28_29
851	unserem	t_97-05-28_29
852	Sondergesandten	t_97-05-28_29
853	,	t_97-05-28_29
854	der	t_97-05-28_29
855	gestern	t_97-05-28_29
856	den	t_97-05-28_29
857	Außenminister	t_97-05-28_29
858	der	t_97-05-28_29
859	demokratischen	t_97-05-28_29
860	Republik	t_97-05-28_29
861	Kongo	t_97-05-28_29
862	traf	t_97-05-28_29
863	,	t_97-05-28_29
864	wissen	t_97-05-28_29
865	wir	t_97-05-28_29
866	,	t_97-05-28_29
867	daß	t_97-05-28_29
868	die	t_97-05-28_29
869	Schwierigkeiten	t_97-05-28_29
870	überwunden	t_97-05-28_29
871	wurden	t_97-05-28_29
872	,	t_97-05-28_29
873	und	t_97-05-28_29
874	wir	t_97-05-28_29
875	hoffen	t_97-05-28_29
876	,	t_97-05-28_29
877	daß	t_97-05-28_29
878	schon	t_97-05-28_29
879	sehr	t_97-05-28_29
880	bald	t_97-05-28_29
881	eine	t_97-05-28_29
882	Informationsmission	t_97-05-28_29
883	über	t_97-05-28_29
