id	sn	cp
266	525	286
267	528	276
268	529	297
269	530	288
270	532	345
271	533	351
272	535	350
273	536	307
274	538	335
275	539	236
276	541	352
277	542	256
278	543	357
279	545	338
280	546	361
281	547	349
282	548	360
283	549	259
284	552	356
285	557	246
286	561	229
287	564	267
288	566	255
289	568	230
290	570	239
291	571	265
292	575	364
293	584	240
294	590	295
295	593	342
296	593	340
297	595	251
298	600	366
299	603	293
300	605	369
301	613	306
302	615	226
303	622	292
304	636	332
305	637	328
306	639	225
307	640	346
308	641	274
309	645	347
310	646	281
311	648	231
312	656	354
313	656	334
314	657	283
315	658	341
316	660	354
317	661	343
318	662	358
319	664	254
320	665	355
321	666	282
322	670	348
323	671	353
324	674	362
325	676	301
326	680	382
327	681	381
328	681	404
329	682	415
330	685	389
331	688	397
332	690	419
333	691	421
334	692	419
335	695	428
336	696	436
337	697	439
338	697	442
339	697	443
340	697	446
341	698	437
342	703	451
343	703	448
344	712	407
345	714	401
346	720	544
347	723	460
348	729	467
349	730	469
350	731	561
351	732	541
352	732	560
353	732	559
354	735	468
355	739	393
356	743	411
357	747	475
358	754	414
359	755	498
360	761	506
361	767	417
362	770	431
363	773	433
364	775	519
365	776	476
366	779	520
367	783	441
368	784	480
369	789	495
370	790	529
371	791	491
372	792	527
373	792	530
374	792	528
375	793	394
376	794	533
377	798	526
378	798	525
379	799	503
380	803	537
381	803	542
382	803	546
383	811	510
384	812	423
385	813	510
386	814	547
387	815	427
388	816	551
389	817	549
390	819	432
391	819	435
392	820	549
393	827	554
394	828	556
395	831	472
396	833	499
397	835	497
398	837	478
399	837	479
400	837	500
401	839	501
402	843	384
403	853	492
404	856	513
405	857	489
406	857	487
407	857	405
408	860	385
409	862	408
410	862	400
411	862	399
412	863	473
413	865	490
414	874	402
415	876	508
416	881	505
417	882	385
418	884	438
419	886	505
420	889	440
421	891	416
422	892	507
423	899	425
424	901	538
425	904	376
426	908	539
427	911	535
428	912	548
429	915	531
430	925	536
431	927	471
432	931	403
433	932	380
434	934	391
435	936	454
436	941	461
437	942	458
438	943	458
439	945	458
440	948	540
441	951	396
442	953	517
443	954	464
444	955	470
445	959	459
446	961	457
447	962	553
448	966	465
449	970	558
450	973	398
451	977	466
452	978	409
453	982	463
454	983	463
455	986	481
456	989	388
457	990	434
458	995	445
459	997	449
460	998	450
461	1001	447
462	1002	456
463	1004	518
464	1005	387
465	1009	453
466	1010	511
467	1015	520
468	1019	515
469	1019	383
470	1020	412
471	1023	524
472	1026	486
473	1027	484
474	1028	474
475	1029	493
476	1032	545
477	1034	386
478	1035	406
479	1038	418
480	1039	424
481	1040	420
482	1042	562
